colony,tag_ID,group,obs_interaction_nurses,obs_interaction_cleaners,obs_interaction_foragers,obs_interaction_queen,exp_random_nurses,exp_random_cleaners,exp_random_foragers,exp_space_nurses,exp_space_cleaners,exp_space_foragers
21,38,F,0.0579841,0.207009,0.735007,0.000722022,0.479832,0.315082,0.205086,0.0454997,0.246781,0.707718
21,44,F,0.113351,0.298022,0.588627,0.000380228,0.479832,0.315082,0.205086,0.0991399,0.337982,0.562877
21,48,F,0.126589,0.255592,0.617819,0.00164954,0.479832,0.315082,0.205086,0.0994123,0.289702,0.610884
21,57,F,0.0542338,0.173446,0.77232,0,0.479832,0.315082,0.205086,0.0572498,0.250133,0.692615
21,65,F,0.0530819,0.185642,0.761276,0,0.479832,0.315082,0.205086,0.0486107,0.215708,0.735679
21,76,F,0.0474301,0.140023,0.812547,0.000755287,0.479832,0.315082,0.205086,0.031481,0.208937,0.75958
21,81,F,0.144404,0.341984,0.513612,0.000477403,0.479832,0.315082,0.205086,0.162087,0.421256,0.416656
21,85,F,0.19137,0.322702,0.485929,0.0103667,0.479832,0.315082,0.205086,0.211273,0.363601,0.425125
21,102,F,0.0592409,0.169918,0.770841,0,0.479832,0.315082,0.205086,0.0534829,0.226801,0.719714
21,117,F,0.154375,0.327707,0.517917,0.00168503,0.479832,0.315082,0.205086,0.125714,0.360863,0.513421
21,127,F,0.0801023,0.210481,0.709416,0.000851426,0.479832,0.315082,0.205086,0.0914651,0.284916,0.623618
21,142,F,0.129515,0.339171,0.531315,0.00230527,0.479832,0.315082,0.205086,0.169348,0.370112,0.460538
21,149,F,0.0880979,0.305524,0.606378,0,0.479832,0.315082,0.205086,0.0693308,0.326835,0.603833
21,156,F,0.135891,0.315167,0.548942,0.000358423,0.479832,0.315082,0.205086,0.127735,0.32296,0.549303
21,161,F,0.0633201,0.24377,0.69291,0.000120366,0.479832,0.315082,0.205086,0.127924,0.304378,0.567696
21,169,F,0.0713679,0.22883,0.699802,0,0.479832,0.315082,0.205086,0.0787089,0.285501,0.635788
21,176,F,0.104742,0.258842,0.636417,0,0.479832,0.315082,0.205086,0.108646,0.292527,0.598826
21,190,F,0.203695,0.347806,0.448499,0.00138376,0.479832,0.315082,0.205086,0.241141,0.370463,0.388395
21,196,F,0.0689506,0.215827,0.715223,8.63E-05,0.479832,0.315082,0.205086,0.0689726,0.268833,0.662193
21,198,F,0.0858011,0.224146,0.690053,0.000910332,0.479832,0.315082,0.205086,0.0777198,0.255861,0.666417
21,207,F,0.0432488,0.16024,0.796511,0,0.479832,0.315082,0.205086,0.056587,0.241247,0.702165
21,209,F,0.153385,0.342474,0.504142,0.000285551,0.479832,0.315082,0.205086,0.173108,0.380024,0.446867
21,215,F,0.108853,0.21356,0.677588,0.000467821,0.479832,0.315082,0.205086,0.0977659,0.257209,0.645024
21,218,F,0.0918813,0.223678,0.68444,0.000602138,0.479832,0.315082,0.205086,0.0924936,0.261854,0.645651
21,221,F,0.126124,0.291292,0.582584,0.000816993,0.479832,0.315082,0.205086,0.10816,0.352985,0.538854
21,238,F,0.0678775,0.198496,0.733627,0,0.479832,0.315082,0.205086,0.0419503,0.253739,0.70431
21,251,F,0.0820111,0.237585,0.680404,0,0.479832,0.315082,0.205086,0.0837161,0.282453,0.633829
21,252,F,0.154395,0.286095,0.55951,0.00434967,0.479832,0.315082,0.205086,0.121223,0.311454,0.567322
21,256,F,0.178797,0.3139,0.507303,0.000243368,0.479832,0.315082,0.205086,0.202445,0.377641,0.419913
21,260,F,0.123026,0.259003,0.617971,0.00181426,0.479832,0.315082,0.205086,0.119266,0.281382,0.599351
21,263,F,0.120409,0.227336,0.652255,0.000309837,0.479832,0.315082,0.205086,0.104133,0.266948,0.628918
