Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,0,0,0,6,17,2,8,0,12,5,0,0,0,0,0,0,5,0,0,1,0,18,0,0,0,20,1,1,18,0,0,0,4,1,1,0,0,0,0,16,0,7,9,11,0,30,0,0,0,10,0,0,29,0,1,0,0,14
1,1,1,0,4,0,0,0,2,0,1,3,0,2,0,0,4,1,0,2,1,0,0,3,0,12,1,1,18,3,4,0,34,0,5,9,10,1,1,2,0,2,0,0,1,2,3,0,0,1,0,2,1,0,3,1,4,2,0
0,2,3,0,0,0,25,1,5,0,5,0,3,0,1,0,0,0,0,0,14,0,7,0,1,1,0,13,0,6,0,0,3,1,3,1,0,0,0,3,2,11,2,0,4,0,0,0,1,0,5,1,0,0,0,8,15,0,0
8,0,3,0,0,2,1,35,2,12,2,0,4,0,5,0,0,0,0,7,6,2,14,0,0,0,6,16,0,1,3,0,0,43,3,1,0,0,0,3,2,1,17,22,7,0,9,10,0,5,0,3,0,10,4,11,0,0,29
4,2,1,0,2,0,11,2,6,3,0,0,0,0,4,2,0,4,6,2,0,6,1,3,2,0,0,3,5,10,11,0,0,0,3,0,7,3,0,6,2,17,0,1,0,0,0,0,2,1,3,0,14,0,12,3,4,0,6
0,1,4,0,5,0,8,0,6,1,0,0,0,0,0,0,32,5,5,0,0,5,1,16,1,32,0,9,7,1,12,0,31,0,5,24,36,6,0,0,1,7,0,0,2,2,1,0,1,0,0,14,0,0,9,0,0,0,0
2,0,0,0,3,10,2,17,0,17,3,0,19,0,0,0,0,0,0,15,0,0,12,0,0,0,16,0,0,0,0,0,0,3,0,2,0,0,0,0,20,0,15,5,0,0,20,29,0,0,10,0,0,0,0,0,0,0,10
0,0,0,0,5,11,14,1,1,0,0,0,2,0,8,0,4,11,0,9,0,37,13,10,4,8,26,1,2,0,30,0,4,0,4,32,11,0,3,2,0,1,0,0,6,2,1,0,3,0,4,12,9,0,0,3,0,0,0
18,4,2,0,6,0,2,7,0,3,0,0,14,0,1,0,2,5,2,10,0,1,3,0,4,0,1,9,0,6,3,0,0,10,15,0,1,1,0,1,3,2,1,0,6,1,3,1,1,8,11,3,0,0,3,0,11,0,4
4,2,22,0,0,6,12,13,3,2,1,0,19,0,4,0,0,7,11,3,0,0,13,0,0,0,4,4,5,8,8,0,32,5,10,0,0,4,0,0,3,13,0,0,6,0,2,0,4,15,0,4,0,0,0,11,0,0,13
0,0,0,10,0,0,0,0,0,0,0,56,0,45,0,21,0,0,0,0,0,0,0,39,0,0,0,0,12,0,0,0,0,0,0,0,16,0,29,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
