Ant57,Ant5,Ant52,Ant59,Ant25,Ant30,Ant148,Ant191,Ant196,Ant209,Ant245,Ant308,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant114,Ant126,Ant135,Ant139,Ant156,Ant159,Ant174,Ant195,Ant207,Ant218,Ant226,Ant242,Ant243,Ant250,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant353,Ant376,Ant387,Ant391,Ant492,Ant549,Ant580,Ant607,Ant614,Ant632,Ant638,Ant663
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,8,0,0,0,0,50,0,0,0,0,40,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,7,6,0,14,16,24,26,2,8,6,0,0,1,3,4,6,7,1,7,9,24,0,30,4,10,4,10,13,17,11,10,0,0,0,6,6,6,6,12,6,0,0,0,1,1,2,3,2,0,0,0,2,5,35,8,4,5,4,8,4,3,0,0,6
12,1,1,0,4,0,4,4,6,3,23,23,0,1,0,4,2,1,1,11,3,20,0,1,2,6,2,0,0,16,2,3,0,0,5,0,2,0,14,4,31,1,32,11,0,8,2,2,21,1,2,23,7,11,2,2,11,0,5,15,6,11,5,3,2,11
9,0,1,0,2,1,4,4,3,4,8,19,18,3,4,0,0,1,1,5,6,10,1,2,4,3,1,3,6,18,1,6,1,2,2,6,6,0,11,5,23,6,33,6,0,16,4,3,16,0,2,13,23,13,5,4,6,1,8,12,11,7,10,3,6,10
2,0,10,1,3,3,2,8,14,2,6,0,0,4,2,0,0,3,0,1,0,4,2,5,15,5,3,22,3,6,12,3,7,0,0,0,5,3,8,2,6,4,7,7,5,1,5,1,6,0,0,8,0,1,11,4,0,4,2,4,3,8,1,4,20,0
0,0,0,7,0,5,0,2,10,0,0,1,0,6,1,1,3,0,1,3,5,9,12,0,2,0,3,8,3,14,13,1,1,0,0,0,0,10,0,9,6,0,2,8,0,0,1,5,5,6,0,0,0,12,14,4,10,15,0,3,1,0,6,2,1,3
1,9,2,13,3,1,3,0,0,0,6,6,0,7,1,1,0,1,0,2,4,4,0,1,10,1,11,3,1,6,5,17,11,0,0,0,2,1,3,6,5,0,1,6,0,0,1,3,4,4,0,0,0,6,13,7,3,22,0,1,1,2,2,0,40,0
1,0,7,16,8,0,2,4,16,0,5,13,0,1,11,5,1,3,2,0,2,9,4,10,3,0,2,12,0,5,18,1,0,1,0,0,1,0,3,0,17,11,9,11,1,2,4,6,3,0,5,6,16,8,19,3,4,0,2,3,3,9,20,0,5,7
2,0,3,5,11,2,0,6,10,5,2,9,0,7,3,6,0,5,4,2,0,8,16,3,1,4,18,6,10,8,4,0,1,1,0,0,2,0,0,12,17,3,3,12,0,2,5,5,7,11,0,4,2,22,6,2,0,0,0,23,5,0,0,0,2,7
14,6,3,3,2,10,9,5,17,0,10,20,1,9,20,10,4,9,4,9,8,0,10,3,4,9,8,6,7,25,7,4,6,8,1,0,10,7,7,11,37,9,21,21,2,4,9,13,11,2,3,8,3,16,7,3,15,7,3,13,16,7,19,11,10,19
2,4,11,8,15,12,1,1,6,16,10,2,0,24,0,1,2,12,0,4,16,10,0,20,2,4,7,11,0,7,2,6,3,0,0,0,4,15,3,0,6,0,3,4,0,0,4,2,5,9,3,0,0,19,5,13,3,5,0,7,3,3,2,1,4,4
0,0,5,5,11,7,1,6,0,1,4,0,0,0,1,2,5,0,1,10,3,3,20,0,19,11,2,1,1,2,0,0,4,0,0,0,0,2,0,6,3,14,1,2,5,1,0,12,0,3,0,2,0,7,0,10,2,5,0,5,1,10,3,5,2,8
7,4,8,7,7,21,24,14,19,12,13,7,0,30,2,4,15,2,10,3,1,4,2,19,0,0,7,2,2,6,3,10,21,4,0,0,14,12,7,0,13,1,3,2,2,2,2,9,6,7,3,2,9,5,0,20,4,15,4,7,7,2,7,6,11,3
