Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant24,Ant25,Ant26,Ant30,Ant38,Ant73,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant1,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant44,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant85,Ant91,Ant96,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant176,Ant178,Ant186,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant220,Ant221,Ant226,Ant229,Ant232,Ant238,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant398,Ant433,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant593,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,0,0,5,0,0,0,0,1,0,28,29,4,0,0,1,33,2,2,1,3,1,1,0,41,0,0,2,0,0,16,2,0,0,0,0,3,0,0,0,59,0,0,0,0,1,0,0,34,0,0,0,0,0,39,0,34,1,0,8,7,0,0,1,24,0,2,2,0,7,2,28,1,0,110,5,0,30,0,0,0,57,0,0,25,30,2,9,2,1,17,5,27,0,0,0,0,0,1,0,1,0,2,7,2,0,0,4,0,20,32,0,1,2,3,0,5,41,0,1,0,0,31,2,81,0,0,40,3,14,1,29,1,0,3,12,1,0,5,47,7,0,0,0,0,4,0,0,14,3,0
0,9,3,0,1,1,0,2,0,2,0,0,0,1,17,0,5,3,3,10,4,0,9,0,3,8,4,1,2,3,2,10,24,1,1,12,3,0,0,15,0,1,1,0,1,2,8,6,6,10,3,3,0,8,0,0,0,6,4,0,22,13,0,2,6,12,7,9,3,1,7,4,4,4,1,15,7,0,2,3,4,2,3,0,1,2,4,4,8,9,1,6,4,9,0,4,0,2,5,11,1,1,8,0,8,15,1,0,9,0,10,10,0,5,13,5,1,7,4,0,4,0,1,10,2,2,3,2,0,14,11,5,0,3,1,10,5,4,3,10,0,9,2,3,6,11,6,5,3,4,9,0
2,0,7,21,1,15,24,0,36,3,4,0,0,6,4,0,1,0,2,7,1,0,2,0,4,0,5,14,2,7,12,0,0,27,1,0,0,0,0,2,3,0,3,0,19,2,0,2,8,0,5,21,14,0,14,0,38,0,1,22,1,1,3,4,1,0,2,1,4,3,0,11,0,7,8,0,2,10,0,1,0,0,0,0,8,0,0,3,2,2,17,0,13,1,17,9,20,1,28,4,2,7,1,0,3,1,8,4,1,3,0,0,13,0,1,1,13,1,2,7,5,25,3,1,14,0,0,3,0,2,0,1,0,4,1,0,0,29,7,3,0,0,7,15,3,0,3,14,7,0,2,5
18,5,12,2,7,4,5,3,0,9,6,3,0,10,9,0,8,1,11,5,12,2,9,7,6,1,12,12,13,20,2,0,11,5,14,6,0,15,2,0,4,5,4,6,3,6,10,6,3,1,5,2,3,11,12,0,14,6,22,19,3,4,17,9,3,3,7,14,1,6,8,11,4,4,4,9,10,5,0,3,3,4,0,4,0,0,1,12,10,7,4,0,16,0,6,1,5,3,4,8,7,4,10,4,1,8,10,0,2,2,11,3,2,0,18,22,8,4,8,4,36,2,5,6,16,6,9,5,1,44,4,20,0,12,13,7,1,11,15,10,0,4,9,11,6,5,16,7,3,6,6,4
6,2,4,7,4,2,12,4,4,3,3,0,0,2,7,0,2,0,9,3,0,1,9,15,11,0,2,0,8,5,0,0,2,0,16,0,0,0,3,4,0,0,0,2,0,0,3,7,2,0,3,8,1,0,0,0,0,1,0,2,0,0,8,3,2,0,0,0,3,9,0,3,0,0,2,0,1,13,0,10,6,0,0,5,3,0,0,2,0,10,11,0,17,0,9,8,9,2,11,0,5,7,4,10,1,2,6,4,1,6,0,0,16,1,2,2,1,0,0,4,7,0,4,0,2,0,0,8,0,1,0,1,0,9,1,0,0,2,6,0,0,0,1,8,0,0,2,6,2,3,0,1
1,1,0,0,2,0,0,3,0,4,1,19,21,2,5,1,2,36,0,2,0,1,1,0,1,9,1,4,2,0,0,20,2,2,0,2,59,1,0,5,0,0,0,0,0,0,1,4,1,50,2,0,0,0,0,41,2,27,0,0,16,10,0,2,4,8,5,4,3,0,0,3,21,2,0,32,12,0,7,0,3,0,21,0,0,3,35,0,18,1,1,26,5,24,0,4,1,2,2,4,0,4,0,0,18,1,3,0,10,1,12,6,0,1,2,1,0,7,46,1,0,0,1,17,0,64,0,0,13,9,21,1,19,0,3,7,16,5,0,8,19,21,2,1,5,8,8,1,0,31,4,3
3,0,0,0,0,11,15,0,3,5,2,2,0,0,1,1,0,0,0,0,0,0,0,4,2,0,2,1,2,1,0,3,0,10,0,0,0,1,3,4,0,0,0,5,1,5,0,0,5,1,22,14,3,0,14,0,14,2,1,3,1,5,11,1,0,0,0,1,7,5,0,1,1,15,10,3,0,5,0,0,2,2,0,3,0,0,1,0,0,0,9,0,10,0,6,7,9,5,5,1,13,2,0,2,2,0,4,2,0,11,0,2,8,0,0,1,7,3,0,5,3,0,0,0,0,5,0,1,0,1,0,4,0,7,0,0,0,7,5,3,0,3,1,0,3,0,0,1,18,5,1,13
9,0,3,2,5,35,8,3,1,5,0,1,0,1,0,0,0,0,2,0,1,2,1,9,1,2,0,2,1,7,2,3,1,20,7,1,0,0,0,6,2,0,5,0,3,2,2,1,6,0,16,7,6,0,4,1,4,1,4,19,0,1,11,0,0,0,1,5,2,3,0,1,0,0,8,0,2,16,0,0,3,0,1,38,8,0,0,0,0,2,4,0,6,0,11,5,3,2,12,6,4,8,3,1,0,0,5,3,0,4,0,0,9,1,1,1,1,0,0,12,2,5,1,0,4,0,0,5,0,1,1,2,0,3,2,1,2,1,3,0,0,0,29,13,9,0,6,5,18,4,3,1
4,2,4,4,1,10,10,12,5,0,4,0,0,3,12,3,1,0,6,2,0,3,2,12,2,0,1,15,1,8,21,1,0,3,1,3,0,1,19,3,0,0,1,3,0,1,2,7,13,0,2,6,4,0,5,0,9,6,3,23,0,0,4,10,2,1,7,1,6,6,0,11,1,1,2,0,4,4,0,0,2,2,0,6,5,0,0,4,0,1,8,1,1,0,1,1,10,0,10,3,5,3,0,6,2,0,6,9,0,0,0,1,3,0,2,2,6,1,2,22,1,5,2,2,16,0,6,1,0,2,0,3,0,3,16,0,0,2,5,2,0,0,9,3,1,3,0,2,3,3,2,14
17,0,6,2,1,0,3,2,4,7,0,1,0,11,12,1,2,2,3,6,1,2,11,6,0,13,4,67,5,4,11,17,7,55,2,7,0,2,2,6,0,0,5,2,1,0,0,3,10,12,43,2,0,0,0,1,19,1,0,0,5,8,4,2,0,8,17,0,17,1,0,18,0,12,0,7,2,4,1,0,4,2,2,0,12,3,19,2,2,4,7,2,13,0,3,38,6,17,6,0,4,9,13,0,13,8,7,2,12,3,6,3,0,2,0,16,2,2,7,1,7,0,1,3,8,0,0,6,4,6,5,7,0,17,16,1,1,24,11,21,1,19,4,2,4,2,0,22,29,10,2,13
0,18,5,0,3,2,1,4,0,2,2,2,0,4,4,4,3,0,6,3,7,0,5,0,1,1,0,0,1,13,0,2,2,0,10,7,1,8,0,10,3,1,0,2,2,0,0,13,6,0,6,7,0,5,0,0,0,1,0,1,10,1,8,0,9,0,0,14,6,0,3,6,10,0,0,2,7,6,0,3,0,0,3,0,17,0,0,4,0,25,0,0,0,4,0,0,0,4,12,15,0,3,7,4,1,6,2,6,9,8,1,0,2,8,7,5,0,3,2,5,6,0,2,4,2,0,8,1,0,3,2,16,0,12,0,7,2,8,2,19,0,3,3,1,1,0,3,0,0,2,5,0
1,18,4,0,11,4,0,21,2,11,0,3,2,18,19,3,2,0,8,9,2,4,7,5,13,9,2,7,23,3,8,3,18,6,13,10,0,6,2,6,7,4,0,1,7,3,13,0,15,2,0,11,3,2,0,4,0,0,17,0,6,4,16,3,15,8,4,22,1,9,0,7,3,4,2,4,24,16,2,7,6,0,5,0,2,0,4,2,2,31,5,3,19,4,2,6,0,2,17,13,4,4,2,2,4,12,7,2,7,5,5,0,0,0,10,6,2,21,7,1,13,2,5,9,10,6,15,2,0,12,1,3,0,18,2,10,2,1,5,14,1,3,8,0,7,19,19,3,4,17,1,2
10,3,24,2,5,12,12,16,4,7,1,3,0,17,10,7,1,0,9,0,0,17,5,3,8,0,5,11,3,10,19,8,0,7,4,4,0,6,8,3,2,1,5,6,13,10,6,15,0,5,9,10,6,2,9,3,9,3,12,20,10,2,11,10,0,0,30,9,13,20,1,12,0,13,9,5,12,4,0,6,3,4,6,10,17,0,9,10,1,10,4,0,10,2,2,3,13,9,18,11,10,21,2,13,1,2,17,3,1,8,5,3,6,8,4,8,9,8,0,8,14,5,2,4,24,7,6,21,0,2,6,3,0,14,11,5,1,3,9,6,0,2,45,22,6,5,6,23,10,5,4,12
0,0,0,0,1,0,0,0,0,0,0,29,7,0,0,0,0,42,0,0,0,0,0,0,0,42,1,3,0,0,0,36,0,1,0,9,34,10,0,1,0,50,1,0,0,12,0,2,5,0,3,0,0,0,0,71,0,16,0,0,27,14,0,0,0,30,1,1,2,0,0,7,18,5,0,77,0,0,16,0,4,3,41,0,0,8,46,0,17,1,0,13,0,8,0,3,0,2,0,0,0,0,0,0,11,0,0,0,9,0,28,21,0,0,0,0,0,1,42,0,3,0,0,17,0,75,0,0,30,0,9,1,43,2,0,2,3,2,0,21,14,25,0,0,2,0,0,0,0,11,2,0
6,2,1,0,5,3,8,7,5,5,0,6,0,0,8,4,1,5,1,0,1,0,1,7,0,1,6,32,6,2,0,15,2,28,1,5,0,3,5,5,3,2,22,16,2,43,6,0,9,3,0,1,2,0,0,7,1,4,0,4,4,8,24,0,0,0,2,3,15,16,0,10,3,8,5,2,5,4,0,0,6,1,15,10,5,2,0,2,0,5,2,6,3,0,17,23,1,20,0,2,11,9,2,16,5,0,1,0,7,21,3,4,2,0,1,0,0,0,9,0,13,0,0,3,6,1,0,5,0,4,4,0,0,16,7,1,1,12,3,14,0,7,4,4,14,1,0,15,35,6,2,7
8,6,7,2,8,6,12,4,7,3,2,1,0,13,3,6,0,0,10,8,2,6,12,14,4,0,14,3,4,2,6,4,3,8,9,2,0,3,21,2,8,0,14,7,6,2,7,11,10,0,1,0,3,1,12,0,3,0,1,1,0,0,13,3,1,2,0,3,1,9,0,9,0,2,2,4,1,7,0,0,2,2,4,17,4,0,0,3,0,8,6,1,29,0,6,8,4,0,14,9,4,18,3,4,3,4,17,2,0,9,0,2,13,1,0,16,3,2,0,3,11,0,3,1,0,0,1,5,0,1,1,4,0,9,14,1,1,9,5,4,0,4,3,3,5,0,3,5,14,2,5,5
1,1,2,3,1,20,12,1,21,6,9,0,0,2,0,4,0,0,0,1,0,4,0,0,2,0,2,2,2,3,9,0,0,1,1,1,0,0,14,3,1,0,3,6,4,0,0,3,6,0,2,3,0,0,22,0,14,0,1,86,0,1,18,8,0,0,0,1,0,1,0,6,0,0,11,0,2,17,0,2,6,0,0,8,0,0,0,3,0,3,16,0,3,0,7,0,7,2,12,4,0,0,2,6,0,0,9,17,0,0,0,0,19,0,1,0,6,8,0,9,2,0,7,0,30,2,0,11,0,2,0,1,0,4,0,2,0,0,2,0,0,0,3,6,0,0,0,12,6,0,0,5
0,17,1,0,1,2,2,1,0,4,0,4,0,2,7,1,8,1,4,9,4,1,5,2,6,0,3,1,7,3,0,0,22,0,1,3,0,8,0,11,0,0,0,0,0,0,5,2,2,0,0,1,0,0,0,0,0,6,7,0,4,9,2,0,9,0,1,18,0,1,22,3,3,0,0,5,3,1,2,2,0,4,0,0,0,0,0,10,3,8,0,2,2,2,0,0,0,2,4,12,0,4,13,0,3,4,3,1,16,0,0,6,0,9,9,5,0,1,1,1,8,0,2,8,0,0,2,0,0,7,2,7,0,8,1,6,11,4,2,4,0,1,0,1,3,7,5,0,3,1,2,0
