Ant57,Ant5,Ant52,Ant59,Ant929,Ant6,Ant25,Ant26,Ant30,Ant74,Ant99,Ant102,Ant148,Ant191,Ant196,Ant209,Ant245,Ant268,Ant308,Ant620,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant111,Ant113,Ant114,Ant126,Ant135,Ant139,Ant142,Ant156,Ant159,Ant169,Ant170,Ant174,Ant195,Ant198,Ant207,Ant218,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant376,Ant387,Ant391,Ant437,Ant492,Ant549,Ant580,Ant592,Ant607,Ant614,Ant632,Ant638,Ant650,Ant663,Ant665
38,0,0,1,1,22,0,31,0,1,0,9,4,3,0,4,1,13,1,8,73,0,0,15,1,1,1,0,0,5,25,3,0,0,0,1,1,2,1,5,21,9,1,2,4,17,2,4,0,0,9,0,9,21,1,16,0,0,1,2,10,0,7,3,0,1,1,7,22,15,0,24,11,1,0,0,1,5,6,3,2,15,1,11,5,2,15,1,0
19,0,0,0,0,5,5,14,3,0,9,0,2,1,1,0,2,4,1,4,7,0,4,7,0,0,1,0,0,1,12,3,0,1,0,1,0,1,6,0,7,3,2,3,40,7,0,18,1,1,2,2,2,14,27,1,0,1,2,1,1,0,4,0,0,0,8,4,8,11,1,4,7,1,0,0,0,6,0,4,0,2,1,2,1,1,7,0,1
1,2,2,0,6,0,0,5,5,1,4,2,0,12,33,3,41,5,1,0,1,9,7,8,0,3,3,2,2,25,0,0,0,0,0,2,0,4,2,1,6,0,13,3,0,0,1,0,2,0,59,0,10,1,2,11,0,9,31,1,4,2,2,4,0,15,1,4,2,4,4,1,1,1,0,4,2,10,3,2,5,0,4,3,2,10,7,6,11
1,5,4,5,0,0,6,6,1,2,3,1,12,0,4,8,4,7,5,0,2,7,1,3,0,6,4,9,24,17,0,9,4,15,0,8,17,5,3,15,5,5,1,19,0,0,17,0,12,2,5,3,4,3,2,4,2,1,9,5,7,7,0,0,8,3,20,0,0,1,7,9,2,5,22,0,6,4,2,2,8,1,3,1,7,2,6,3,4
3,1,1,5,15,2,9,11,4,4,0,1,33,4,0,24,12,12,14,0,0,16,4,13,3,0,4,3,5,14,1,4,5,2,0,5,2,5,2,15,11,1,4,5,0,0,0,0,8,3,15,0,6,1,1,8,4,3,15,7,6,2,4,2,3,11,5,4,1,1,4,1,0,0,13,0,1,8,16,1,7,2,3,2,7,0,9,15,14
2,2,6,4,1,1,6,7,6,3,4,0,3,8,24,0,3,5,2,0,0,7,1,11,1,1,14,10,16,1,3,3,1,5,0,6,0,5,2,4,14,5,8,5,0,0,0,0,2,3,7,7,0,2,13,3,0,0,4,2,3,17,1,2,1,3,24,2,0,1,25,12,0,0,10,0,5,4,6,5,5,5,0,0,0,1,15,4,11
3,7,0,1,7,1,16,8,15,8,1,2,41,4,12,3,0,14,25,0,3,17,8,7,0,3,3,1,17,6,0,8,2,9,0,9,1,6,22,6,4,1,23,1,7,0,6,0,4,4,3,0,7,8,4,16,3,6,14,0,0,16,6,4,5,14,9,7,2,7,0,8,3,2,5,8,14,7,2,7,10,3,23,4,5,13,13,4,21
30,10,4,0,10,4,6,22,6,1,13,4,5,7,12,5,14,0,7,0,8,2,4,7,2,9,3,8,10,17,3,6,0,6,0,4,2,16,9,0,16,0,20,1,3,2,6,0,10,5,7,8,3,5,11,29,0,5,11,1,19,5,7,3,2,4,3,1,0,25,0,12,2,2,4,1,4,7,9,3,11,2,1,17,8,4,7,0,11
1,2,4,14,6,1,11,3,5,5,1,1,1,5,14,2,25,7,0,0,9,12,3,6,1,4,4,7,12,14,0,3,3,28,0,6,0,8,36,4,9,1,11,0,2,0,0,0,5,10,1,8,4,0,0,7,4,2,10,2,1,8,3,4,10,19,4,7,1,0,4,4,0,2,6,15,6,6,17,15,24,0,8,3,6,4,4,4,8
0,0,0,0,0,16,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,1,0,0,0,26,0,30,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,0,0,0,0,5,31,0,0,0,17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
