Ant4,Ant5,Ant59,Ant65,Ant397,Ant540,Ant929,Ant2,Ant6,Ant14,Ant19,Ant24,Ant25,Ant26,Ant73,Ant148,Ant158,Ant191,Ant192,Ant202,Ant227,Ant237,Ant245,Ant252,Ant311,Ant518,Ant534,Ant646,Ant740,Ant838,Ant954,Ant0,Ant1,Ant17,Ant23,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant114,Ant115,Ant117,Ant120,Ant126,Ant140,Ant149,Ant153,Ant170,Ant172,Ant173,Ant176,Ant186,Ant210,Ant217,Ant220,Ant221,Ant242,Ant250,Ant251,Ant255,Ant256,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant353,Ant356,Ant387,Ant391,Ant433,Ant475,Ant476,Ant482,Ant501,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant610,Ant614,Ant632,Ant638,Ant647,Ant650
0,11,1,6,2,0,0,9,0,2,0,0,6,3,0,2,0,1,2,0,1,0,1,0,11,4,0,0,0,2,1,1,5,0,2,11,3,0,3,1,0,0,11,3,0,0,1,5,1,3,4,1,0,0,3,7,9,6,0,8,0,0,0,0,6,3,8,6,0,0,0,5,2,1,2,5,0,4,0,8,2,5,0,0,1,0,9,4,0,2,0,0,0,3,0,0,5,3,4,3,8,12
6,13,2,12,1,5,3,22,4,12,2,1,3,21,2,8,1,8,4,1,0,3,18,2,4,3,6,4,0,1,5,1,9,0,1,5,5,2,3,4,2,0,8,10,3,3,19,10,10,7,10,4,4,0,2,8,20,0,0,13,1,7,6,3,21,18,15,2,1,3,0,0,7,5,7,6,3,8,2,0,0,5,0,0,4,0,5,1,0,5,0,2,2,8,2,1,8,22,0,13,8,19
6,1,12,0,1,12,3,1,1,1,6,2,3,0,13,4,19,0,0,0,3,0,0,9,2,0,8,8,12,5,2,2,0,5,2,0,1,21,1,11,17,2,1,0,1,7,12,3,0,5,6,6,2,7,0,4,0,1,6,3,1,2,9,4,0,1,0,4,11,11,8,2,1,8,1,1,1,0,15,0,3,0,5,1,4,0,0,0,11,1,1,13,7,7,5,2,1,0,1,3,2,2
0,1,2,4,1,0,0,22,0,5,0,0,0,12,0,4,1,3,2,1,18,0,0,0,0,4,0,0,0,0,5,0,12,0,9,1,0,0,0,0,0,0,7,2,3,0,0,4,7,4,5,1,0,0,17,0,15,0,0,6,0,0,0,3,9,15,9,1,0,1,0,2,4,3,1,0,0,9,0,2,0,1,0,0,2,0,0,5,0,2,0,0,0,2,0,0,2,7,0,16,4,14
9,0,91,2,0,22,8,2,42,0,9,3,4,0,56,7,12,0,2,0,2,9,0,0,5,1,12,28,57,4,10,9,0,4,10,4,1,19,0,6,18,56,15,1,0,15,12,9,0,5,3,3,21,7,0,10,0,10,2,4,1,14,35,0,0,0,0,35,7,35,29,8,4,87,50,0,3,3,54,1,15,3,21,3,46,0,3,0,3,3,47,12,7,5,15,2,8,1,0,4,6,0
8,6,8,2,2,1,4,9,6,8,9,10,14,0,0,12,3,0,19,11,4,2,0,5,0,1,6,7,0,6,12,8,3,0,7,53,42,14,20,0,8,1,15,4,0,1,26,7,23,6,14,6,7,4,0,8,10,7,0,3,23,27,5,2,7,2,0,14,16,10,4,40,11,5,13,11,11,3,5,6,27,7,2,4,21,3,18,16,5,9,1,11,2,14,2,17,7,0,31,16,11,13
4,4,1,6,0,0,0,8,0,1,1,3,2,3,0,3,0,2,0,4,3,0,4,1,1,0,0,0,0,0,0,0,4,0,1,12,8,0,13,1,2,1,9,5,1,0,6,7,9,5,5,1,0,0,4,3,13,0,0,20,4,4,0,2,4,5,1,2,1,1,0,5,2,0,3,3,6,1,0,1,5,2,0,0,0,0,4,15,0,1,0,0,1,1,0,4,9,1,10,1,14,14
7,0,18,0,1,15,6,4,9,5,2,3,15,0,3,7,15,0,9,0,6,8,0,12,6,0,0,4,11,16,13,9,0,6,5,3,6,7,3,6,16,2,1,4,2,6,4,2,1,10,12,23,5,13,0,11,4,4,8,0,1,13,7,4,0,1,3,5,8,10,14,1,8,12,5,1,3,5,23,0,9,1,1,1,3,2,4,4,13,4,8,2,17,13,5,3,2,0,2,6,1,4
2,1,26,0,0,5,17,6,20,1,5,4,6,0,28,3,10,0,1,0,4,8,0,28,7,0,4,0,28,1,0,14,0,14,0,8,0,37,1,1,1,17,2,1,0,1,3,13,1,1,12,2,18,5,0,3,0,1,4,4,0,6,28,0,0,0,0,1,3,14,10,3,6,37,4,2,10,2,29,0,7,0,4,7,32,0,11,0,7,2,18,4,2,4,11,0,0,0,0,1,1,5
13,0,29,0,0,15,22,2,26,2,2,5,3,0,70,2,13,0,2,0,0,12,0,57,0,0,11,28,0,9,0,8,0,7,0,1,1,10,0,7,6,15,0,1,0,11,9,8,0,0,6,9,11,13,1,6,0,2,4,1,1,4,59,0,0,1,0,4,7,7,3,3,0,43,1,0,2,3,18,0,6,0,8,4,38,1,1,0,14,2,17,9,5,5,7,0,0,0,0,3,1,1
