Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
30,7,6,1,17,0,13,4,16,0,19,3,14,0,21,16,2,15,17,11,14,2,0,30,13,0,8,18,6,0,11,29,0,3,10,13,0,0,34,18,0,0,2,0,2,11,5,11,12,0,6,10,11,14,13,12,5,23,0,1,6,76,12,0,1,0,8,21,0,0,16,0,1,5,5,11,3,9,12,3,13,1,9,8,6,10,10,7,6,3,7,0,0,1,12,5,38,1,5,0,3,9,10,11,9,19,0,0,0,7,6
17,3,5,3,13,0,14,3,17,1,1,7,12,21,0,13,0,5,7,4,0,8,0,9,8,5,10,28,24,0,5,21,0,4,11,4,0,6,17,6,5,1,8,2,11,11,6,3,2,6,17,11,0,27,4,38,0,1,0,0,15,6,3,0,1,0,20,36,0,0,0,0,0,1,3,0,0,13,3,4,1,11,12,8,17,10,2,12,1,0,9,3,12,6,0,1,3,3,1,1,1,9,13,5,0,1,0,0,0,12,2
35,16,5,2,13,0,2,1,0,0,19,14,1,16,13,0,0,19,38,5,3,1,0,41,1,0,0,8,2,0,33,23,0,0,20,0,0,0,20,0,2,0,8,0,4,10,7,2,1,2,14,4,3,6,5,18,2,12,0,0,5,14,8,0,0,0,3,30,0,0,10,0,0,0,0,0,16,22,14,0,7,1,23,12,3,11,1,9,13,13,4,0,0,3,3,2,16,2,4,0,19,15,2,2,0,14,0,0,0,23,13
0,0,0,2,0,13,1,0,7,27,0,1,0,2,0,0,0,0,0,0,0,0,21,1,5,1,35,16,9,1,0,0,34,10,0,5,13,13,0,0,29,0,0,1,0,0,0,1,0,21,0,1,0,0,2,1,1,0,19,40,8,0,0,10,71,31,0,1,32,31,0,0,4,0,11,31,0,4,0,1,1,2,0,0,0,3,13,2,0,0,0,5,57,0,0,0,0,39,2,9,0,0,0,19,1,4,6,34,0,0,0
20,10,6,0,14,0,9,0,1,1,5,1,7,15,5,19,0,0,4,6,8,10,0,12,10,6,1,9,3,3,8,6,0,2,3,1,0,0,22,15,1,10,3,1,0,4,7,4,3,0,2,9,7,10,5,11,3,8,0,3,3,20,8,0,0,0,3,9,0,0,6,0,0,1,0,0,8,5,9,0,18,0,18,8,15,8,3,4,2,5,1,0,0,13,1,9,11,2,4,0,3,8,9,10,1,4,0,0,0,1,3
14,5,3,2,13,0,6,2,0,0,22,1,8,17,7,38,0,4,0,10,2,1,0,12,4,2,0,8,3,0,16,31,0,6,14,10,0,0,10,0,0,0,8,1,2,12,13,1,5,0,3,1,13,8,2,35,1,4,0,1,8,15,6,0,1,0,0,15,0,0,6,0,0,0,1,0,6,7,9,0,4,0,24,25,1,4,0,5,4,47,16,0,0,2,2,12,20,0,5,0,15,3,4,4,4,2,0,0,0,2,20
13,10,4,1,11,0,7,3,1,0,7,1,1,11,4,5,0,6,10,0,3,6,0,26,27,0,0,19,2,1,7,6,0,1,3,1,0,0,9,1,0,1,9,0,0,2,0,4,5,0,21,7,4,6,13,26,1,10,0,1,12,14,2,0,0,0,0,10,0,0,3,0,0,0,2,0,4,11,0,0,14,3,13,5,5,3,0,3,7,2,10,0,0,0,9,9,7,1,1,6,2,6,2,3,3,4,0,0,0,12,2
25,3,1,10,1,0,15,0,5,5,1,14,3,14,0,3,0,8,2,3,0,0,0,20,21,0,1,40,22,16,9,13,0,16,3,1,0,2,7,1,0,0,7,0,1,1,10,10,5,3,2,8,2,18,12,13,16,4,0,0,17,13,22,4,5,0,4,9,0,0,14,6,0,8,4,0,10,11,5,9,13,16,10,12,5,12,8,0,11,0,6,3,1,0,2,0,21,4,8,4,9,14,27,24,3,21,0,0,0,7,5
12,0,2,0,3,0,8,11,9,2,0,20,28,2,8,1,0,10,1,6,0,0,0,2,15,27,12,16,4,2,1,4,0,9,0,10,0,0,6,0,0,2,1,11,0,9,1,33,7,0,6,6,4,2,2,7,1,10,0,0,7,8,5,0,0,0,10,13,0,0,15,0,1,2,2,0,0,26,7,4,1,4,10,3,0,7,1,2,3,5,0,1,7,6,0,2,4,5,4,2,0,3,3,4,7,10,0,0,0,4,3
1,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,68,7,0,1,0,0,16,5,0,0,1,19,0,0,9,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,4,15,0,0,0,6,99,10,0,0,25,11,0,0,4,2,18,12,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,1,52,0,0,0,0,2,0,8,0,0,0,29,1,5,8,5,0,0,0
