colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
18,476,154.738,40,0,N,N,N,N,130.455,0,11.1818,598.90909,63.636364,11.636364,12.18
18,492,196.987,197,0,N,N,N,N,1.54545,0.0909091,0.909091,541.63636,95.818182,19.545455,28.73
18,509,199.279,14,0,N,N,NA,NA,25.8182,0.181818,0.272727,933.72727,196.09091,44.272727,31.36
18,552,166.111,40,0,N,N,N,N,178.182,0.727273,4.63636,807.72727,104.90909,21,71.45
18,556,154.616,64,0,N,N,N,N,65.2727,0.363636,2,436.63636,58.454545,17.909091,7.727
18,560,178.6,190,0,N,N,N,N,26.3636,3.72727,9.81818,514.45455,121,39.272727,11.91
18,593,200.37,183,0,N,N,N,N,4.45455,1.45455,0.272727,525.81818,286.54545,93.272727,4.455
18,610,141.792,40,0,N,C,NA,NA,243.545,0.454545,0,230.27273,52.636364,19.636364,0
18,635,161.375,50,0,N,NA,NA,NA,48.4545,6.18182,3.18182,472,90.545455,41.545455,4.818
18,647,135.96,40,0,N,C,C,NA,1386.45,0,0.636364,242.63636,31.272727,7.1818182,5.273
21,9,145.362,40,0,N,N,C,F,161.455,0,0.727273,363.63636,202.72727,94.090909,3.455
21,13,167.057,40,0,N,N,N,N,102.727,0.181818,3.72727,372.81818,148.54545,65,8.545
21,17,150.376,40,0,N,N,N,N,693.364,3.54545,3.18182,870.18182,230.09091,96.272727,17.09
21,20,170.423,71,0,N,N,N,C,154,0.636364,1.18182,534.90909,230.18182,112.27273,9.636
21,23,234.77,204,0,N,N,N,N,17.3636,0.272727,1.54545,221.72727,173.45455,132.63636,2.818
21,30,224.722,50,0,N,N,N,N,103,0.181818,0.181818,349.81818,190.81818,90.727273,6.455
21,35,136.62,57,0,N,N,N,N,449.182,1.63636,3,380.27273,58.909091,34.909091,6.636
21,43,171.283,64,0,N,N,N,N,229.455,2.09091,4.63636,669.81818,168.54545,88.727273,9.545
21,53,151.212,40,0,N,N,N,N,464.364,0.454545,1,745,123,43.636364,26.27
21,60,134.082,14,0,N,N,N,C,419.727,0.545455,22.6364,754.54545,195.45455,63.090909,13
21,62,185.194,57,0,N,N,N,N,87,0,0.363636,260.81818,135.81818,72,2.727
21,68,146.031,5,0,N,N,NA,NA,571,0.272727,1.09091,462.72727,100.90909,42.181818,8.727
21,71,166.859,57,0,N,N,N,N,423.727,1.27273,1.27273,333.72727,175.09091,69.363636,11.18
21,72,144.506,40,0,N,N,N,N,289.545,0,37.0909,344.81818,148.45455,54,20.09
21,74,184.678,5,0,N,N,N,N,395.091,0,0.454545,585.36364,149.63636,60,9.909
21,96,178.241,57,0,N,N,N,C,96.6364,0.545455,8.72727,441.54545,197,101.27273,23.64
