Ant57,Ant260,Ant52,Ant929,Ant6,Ant7,Ant9,Ant19,Ant24,Ant26,Ant64,Ant74,Ant161,Ant196,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant70,Ant80,Ant91,Ant97,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant232,Ant261,Ant262,Ant263,Ant299,Ant301,Ant313,Ant332,Ant376,Ant380,Ant433,Ant458,Ant492,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
3,2,4,0,4,0,1,0,0,1,0,9,5,1,1,3,4,5,1,0,0,0,1,1,0,2,1,6,0,4,2,3,1,0,8,0,3,0,0,0,1,6,0,33,0,0,0,3,1,10,0,0,5,0,0,5,0,18,5,2,0,0,4,4,1,4,23,0,8,2,0,2,9,0,0,0,0,0,3,4,0,1,3,1,0,3,10,9,1,0,6
2,0,26,11,4,0,0,0,0,6,9,0,37,0,16,1,0,3,1,0,0,5,2,0,1,3,1,1,4,10,0,29,3,0,36,4,0,0,0,2,23,2,7,1,3,0,0,6,3,9,2,12,6,0,0,0,0,17,1,1,0,0,7,2,9,0,47,0,0,0,0,1,1,0,6,3,2,15,5,0,0,0,2,0,6,5,0,2,0,3,6
9,4,0,0,3,0,10,10,0,1,5,37,0,0,0,0,3,1,0,0,2,2,4,0,1,0,0,0,0,6,0,6,3,0,14,48,1,4,0,0,34,5,5,1,0,0,5,21,0,0,0,4,1,1,1,0,0,2,2,0,0,0,4,2,2,7,0,1,9,0,0,4,4,0,17,1,1,2,48,3,5,3,10,2,3,0,16,0,0,0,1
0,15,1,0,4,21,0,0,9,0,1,0,0,0,0,9,4,2,0,1,0,0,0,18,2,24,0,1,0,2,20,0,0,41,5,0,3,1,21,4,0,6,0,0,20,44,0,3,1,0,38,0,0,13,18,1,25,0,1,8,0,34,0,0,2,2,0,0,0,13,42,1,11,0,3,0,2,0,0,0,1,11,0,6,1,8,0,0,46,6,0
0,1,0,1,4,0,0,1,0,1,1,16,0,0,0,2,0,4,22,0,0,0,3,0,0,3,0,7,2,3,0,6,2,0,1,7,2,1,0,3,0,3,2,0,5,0,0,4,0,1,0,2,0,0,1,1,0,6,6,2,0,0,12,2,12,1,4,0,0,9,0,4,0,0,6,1,0,1,5,3,1,0,1,0,7,3,0,2,0,4,3
2,5,8,2,45,0,5,4,3,12,3,1,0,9,2,0,12,7,11,3,39,0,6,1,7,10,3,5,4,6,17,6,33,3,11,4,73,6,11,16,8,22,24,0,23,3,2,15,11,2,5,79,0,11,16,29,0,3,15,6,3,1,34,5,9,0,3,8,0,30,5,55,29,0,12,1,16,10,50,2,15,25,12,1,16,67,4,0,5,27,5
6,6,3,1,3,0,0,1,0,1,4,0,3,4,0,12,0,14,8,3,3,0,1,0,2,3,1,1,4,2,13,2,3,0,0,0,3,6,4,2,1,6,0,0,6,0,2,6,1,0,2,8,0,0,6,16,0,1,8,7,0,0,6,1,2,0,0,0,0,14,0,7,13,0,14,0,5,2,2,0,0,6,5,2,7,2,8,0,0,9,5
1,2,2,0,9,0,0,2,0,1,5,3,1,2,4,7,14,0,8,1,14,4,0,1,3,5,0,8,0,3,1,19,5,0,0,0,2,2,5,7,1,5,0,0,6,0,5,5,1,2,4,3,1,1,1,4,0,28,6,10,4,0,0,2,1,2,14,1,0,18,0,10,2,0,5,3,3,0,2,2,4,2,0,2,8,5,1,9,0,6,11
1,4,2,3,10,0,0,0,0,7,1,1,0,0,22,11,8,8,0,3,8,0,5,0,6,3,0,3,7,4,9,1,5,0,11,1,0,2,4,1,4,16,0,0,4,0,0,1,0,7,0,5,0,1,3,7,0,2,3,2,0,0,8,5,2,2,0,0,0,8,0,22,3,2,3,6,14,2,27,3,9,1,11,2,3,2,2,1,0,6,2
0,0,0,3,1,0,0,2,0,2,0,0,0,1,0,3,3,1,3,0,4,11,16,0,1,2,8,1,7,0,1,1,21,0,0,1,0,11,4,1,4,2,13,0,0,0,6,2,0,0,0,5,12,1,2,2,0,22,3,6,6,0,3,7,0,0,5,9,0,2,0,1,1,0,4,7,2,0,6,2,5,1,0,0,1,1,6,0,0,6,6
