Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
26,19,31,9,0,3,2,16,40,3,3,9,28,2,2,1,1,11,16,2,0,0,22,1,11,7,8,1,0,1,19,6,0,19,14,11,1,1,1,0,8,0,0,25,16,4,0,10,1,15,1,19,4,13,0,7,3,15,4,15,17,16,0,4,5,4,0,24,4,9,0,12,8,0,4,13,20,0,7,0,25,27,9,1,0,23,28,7,0,8,0,23,0,16,3,2,29,0,6,26,22,21,0,33,10,8,1,0,1,1,2,0,1,18,27,8
3,18,3,3,4,8,9,3,1,18,1,0,9,3,4,5,5,6,3,1,6,22,0,0,7,8,9,6,0,0,1,22,7,5,10,4,0,11,15,4,22,4,2,19,2,17,4,6,1,21,1,11,9,14,2,10,1,9,6,11,3,26,4,1,36,3,5,5,19,13,16,3,4,8,10,11,2,3,14,0,7,23,12,1,6,8,8,4,3,9,1,7,0,9,8,6,8,5,9,2,0,18,1,10,3,4,4,1,0,0,6,2,6,13,9,29
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0
9,24,8,29,0,4,3,8,8,4,2,6,0,3,3,3,0,12,1,8,1,11,7,0,0,6,8,3,0,0,2,14,3,4,10,3,0,3,10,2,13,1,3,16,5,7,2,8,0,8,0,18,4,2,1,3,1,7,7,6,2,4,1,2,0,7,19,13,6,14,4,0,12,4,1,11,4,2,5,0,5,11,5,0,0,10,6,1,2,1,3,10,0,15,7,8,6,0,4,14,1,20,2,19,1,7,2,2,0,1,0,0,3,6,7,4
5,18,0,7,0,1,0,3,0,9,0,3,4,12,6,1,0,3,4,2,3,7,8,0,6,0,8,0,0,0,3,9,4,4,1,16,1,2,1,1,12,1,1,6,0,3,0,2,2,5,6,6,3,8,5,7,1,6,2,10,8,1,1,4,0,4,0,6,2,20,2,6,5,0,8,5,0,0,6,0,5,12,2,0,0,9,0,1,3,0,4,10,6,4,2,4,2,2,1,18,0,4,0,13,4,0,0,0,0,0,0,2,11,4,7,14
6,15,16,1,2,13,0,1,1,4,5,5,5,1,9,9,0,1,2,3,3,8,9,0,8,8,0,3,0,0,3,4,3,5,16,10,3,2,16,3,2,2,0,9,1,8,10,2,1,10,1,13,11,23,13,6,5,8,18,1,11,5,1,6,4,4,11,11,6,11,0,2,36,1,7,18,2,3,2,0,1,2,4,2,1,4,6,10,1,6,4,3,1,2,12,5,1,2,2,8,0,4,7,8,3,0,1,5,0,0,0,3,6,2,1,20
0,0,0,0,3,7,7,0,0,0,2,1,0,0,5,2,7,0,0,0,3,1,6,0,3,0,3,0,0,20,2,7,17,0,4,1,3,9,10,10,0,10,0,0,0,8,12,3,0,4,15,0,3,6,6,2,0,0,8,0,0,0,3,7,6,0,4,0,0,0,17,0,8,7,1,2,0,13,5,0,0,0,0,5,1,0,0,4,1,1,8,0,2,0,5,3,0,1,1,0,0,0,14,0,0,0,7,6,10,3,2,7,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,20,0,0,0,0,0,1,0,1,2,17,2,18,0,9,0,0,0,1,70,0,2,1,17,0,0,2,7,3,0,0,2,0,0,0,6,1,8,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,9,0,0,5,1,1,11,0,5,0,2,0,0,15,1,0,0,0,4,0,1,0,3,21,0,10,29,7,0,0,0,2
7,11,19,0,2,13,0,0,0,0,11,7,9,1,0,0,0,11,5,3,1,19,1,0,2,3,3,2,0,0,0,3,1,9,2,6,0,3,3,0,11,1,6,4,0,1,0,0,1,12,2,6,2,14,8,4,4,5,5,0,4,13,2,15,0,5,0,1,0,0,0,3,2,0,2,1,5,1,1,0,6,13,1,0,0,0,2,2,0,5,2,6,0,12,1,1,5,0,3,1,0,4,1,5,3,0,0,0,0,1,0,0,1,1,2,7
