Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
4,8,14,0,2,14,4,13,1,0,14,2,4,4,7,4,1,3,0,7,0,0,1,5,0,32,2,8,0,0,0,6,0,0,0,1,5,0,3,5,1,0,0,10,8,10,7,4,0,3,0,2,1,11,0,10,0,0,8,0,2,3,2,1,2,7,3,2,3,2,0,0,5,7,3,0,0,0,0,0,2,0,0,2,6,1,1,0,0,3,8,9,3,2,5,10,0,4,0,1,3,4,0,4,7,0,1,4,0,0,2,0,0,3,2,0,4,1,4,6,10,6,1,9,9,0,1,0,7,21,4
17,44,3,0,0,24,24,12,1,0,17,1,6,2,2,21,0,29,9,6,12,0,13,7,0,20,4,19,1,0,0,10,2,4,2,2,38,5,2,4,3,4,0,14,8,6,1,11,2,8,0,0,40,31,1,15,5,10,5,0,14,0,5,12,20,3,27,0,20,2,0,0,8,13,16,1,0,0,15,0,8,0,0,4,4,0,0,5,0,5,29,7,16,6,3,14,4,0,8,18,0,4,2,8,8,3,0,9,14,0,0,12,2,16,13,2,1,2,1,20,14,1,2,0,7,0,6,5,16,28,5
13,0,9,0,0,14,2,2,0,1,4,3,3,14,0,6,0,5,0,13,1,0,0,1,2,22,4,1,0,0,0,4,2,1,0,1,2,0,1,14,1,2,0,13,13,2,5,11,0,3,0,12,11,19,1,7,1,2,2,0,1,3,2,10,0,0,0,1,4,1,2,1,10,4,7,0,0,0,10,0,1,0,0,12,0,0,0,0,1,9,0,2,0,2,1,16,0,8,0,1,0,0,0,3,1,0,0,8,1,0,0,0,2,2,3,1,0,1,1,3,0,3,0,21,5,0,2,0,3,1,3
24,38,11,2,2,23,15,7,0,0,6,0,4,4,6,45,1,16,7,19,9,0,5,7,0,22,7,17,1,0,1,16,2,2,1,3,28,2,2,6,2,0,0,10,5,0,17,9,0,9,0,0,1,9,3,31,0,3,4,0,13,6,2,11,9,5,23,1,14,0,0,0,9,7,13,0,1,0,14,0,0,0,0,9,1,3,2,4,0,4,21,16,17,2,4,19,1,18,1,0,5,1,0,0,4,3,2,13,2,1,0,27,0,14,10,3,1,7,7,59,11,0,0,0,7,0,10,0,6,37,1
12,10,2,4,41,21,4,7,16,6,10,2,3,6,30,11,2,6,16,4,4,0,1,17,0,7,13,6,14,2,4,26,39,9,11,1,10,1,8,4,13,2,11,5,3,32,2,4,8,3,6,10,8,4,4,8,18,6,2,11,10,9,0,5,15,17,22,1,3,7,0,12,2,29,15,3,0,0,4,10,15,2,7,0,4,30,11,19,0,1,0,10,4,6,18,19,3,0,0,5,0,0,12,6,10,3,10,7,10,12,4,22,4,10,0,6,3,6,10,1,27,3,13,0,35,5,0,2,2,9,4
6,8,2,4,17,18,3,0,9,3,9,1,3,21,5,1,7,6,4,5,6,0,7,4,0,9,27,2,18,6,0,10,8,11,0,5,16,0,4,8,9,6,2,15,0,12,3,1,5,5,2,1,2,0,3,4,8,5,1,5,17,26,10,1,1,1,14,9,3,6,0,19,3,1,4,1,2,0,10,2,31,4,13,1,4,11,33,25,2,9,2,0,0,13,5,1,4,4,0,1,0,0,13,2,4,9,1,3,12,2,3,13,13,14,4,11,1,0,14,1,13,1,16,0,1,0,17,0,4,12,1
0,2,0,5,0,14,1,5,6,15,7,3,0,0,8,0,14,1,2,0,2,0,1,10,0,3,15,0,12,2,3,8,10,15,11,0,5,11,11,0,9,7,24,2,0,12,0,0,17,1,6,1,0,0,14,2,19,1,0,14,0,10,0,2,0,5,1,21,0,6,12,30,0,17,1,22,3,4,1,15,7,9,14,0,5,35,10,11,14,1,1,5,1,7,7,0,0,2,0,0,12,13,0,7,3,6,5,0,3,3,11,4,22,1,1,2,10,9,11,0,11,16,15,0,7,5,0,5,0,0,0
6,33,2,2,20,45,14,11,6,0,35,16,0,1,5,9,3,6,11,18,13,0,10,17,0,6,17,4,12,0,19,17,14,7,19,1,12,4,3,0,3,4,13,5,3,4,3,1,5,5,4,13,3,8,11,1,5,15,0,5,4,8,0,16,14,8,11,4,12,10,6,21,0,7,7,0,0,0,2,2,12,0,4,0,11,8,1,9,0,3,11,2,1,8,6,4,4,8,3,0,6,2,7,0,1,3,7,2,1,2,3,12,8,7,4,1,7,16,5,3,5,12,13,0,33,0,7,4,4,19,4
4,44,9,1,9,26,7,8,0,0,2,6,0,18,10,4,7,3,4,11,6,0,4,13,0,17,2,6,22,2,0,11,2,0,6,5,19,0,1,2,1,1,0,13,2,4,4,5,0,9,3,2,12,5,1,6,1,3,9,5,10,2,3,7,10,6,13,3,10,5,0,0,3,8,10,0,0,0,19,1,3,0,1,1,4,2,5,9,0,1,36,8,3,6,6,7,7,8,1,4,10,4,3,1,0,13,4,12,9,2,0,13,1,7,7,1,5,3,2,2,6,1,2,0,12,1,9,0,2,26,5
7,23,0,3,7,23,16,12,21,2,8,0,0,8,12,6,0,4,4,3,0,0,4,22,0,13,11,13,8,0,4,12,7,3,2,2,15,1,2,0,2,0,0,6,1,17,1,4,0,13,3,4,2,10,2,9,1,9,4,5,3,4,2,7,10,9,14,0,1,3,0,2,4,9,22,0,0,0,4,1,8,1,2,0,4,4,2,13,0,14,8,3,4,3,9,7,0,3,0,3,3,9,6,3,13,0,3,6,8,2,0,16,2,9,6,1,1,5,13,6,16,0,4,0,6,1,0,2,2,25,1
