Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
2,1,1,13,2,1,13,0,0,25,1,9,2,0,18,8,0,0,0,0,0,8,20,8,3,1,0,5,0,18,6,1,4,0,8,1,2,1,0,0,0,14,2,19,6,3,9,14,3,12,5,0,3,0,0,2,8,0,16,0,1,0,22,5,0,20,10,0,10,0,5,14,8,1,5,14,0,6,2,21,0,0,10,2,10,0,1,3,6,9,5,2,1,3,4,0,2,5,0,9,0,8,11,12,0,12,12,2,2,6,30,7,6,0,17,0,1,1,0,21,7,1,5,5,10,0,0,0,2,2,10,5,12,8,0,20,9,10,1,1,3,12,1
9,0,4,0,1,0,0,0,5,1,0,0,0,0,0,0,14,2,10,1,0,6,4,0,0,0,0,2,3,2,0,2,1,5,0,1,0,1,0,2,0,1,0,0,0,14,0,0,0,0,0,5,6,0,0,0,0,5,6,0,0,7,15,3,0,1,0,2,0,0,0,5,0,0,6,0,0,0,3,0,0,2,0,0,0,0,1,0,2,0,0,0,6,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,0,6,0,0,0,0,3,0,0,3,0,1,2
0,25,0,2,0,0,0,34,0,0,0,0,0,5,2,26,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,8,21,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,30,29,0,2,4,0,6,0,4,0,0,0,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,8,8,0,0,0,0,0,1,0,0,0,1,22,0,0,0,4,17,0,0,0,16,0,0,0,0,36,0,1,0,0,0,18,0,0
8,9,4,2,18,18,0,0,4,9,1,0,12,0,0,2,6,4,1,1,0,1,12,0,6,10,4,4,6,6,9,1,11,9,5,11,6,0,14,1,0,0,7,0,5,16,13,6,0,1,1,3,2,0,25,1,6,0,14,5,10,16,32,2,14,1,0,0,1,4,2,7,3,4,13,6,0,0,3,12,0,5,7,7,0,11,5,0,15,3,7,5,1,8,8,1,7,1,7,11,5,0,2,2,3,4,13,5,0,2,4,0,6,11,0,0,1,4,0,7,2,1,2,14,0,0,1,18,0,1,8,9,5,5,0,16,20,0,18,1,1,9,30
12,0,14,2,19,5,2,0,22,1,2,1,7,0,2,0,2,21,4,11,14,6,0,0,4,8,13,3,4,0,11,30,6,4,0,14,3,1,2,0,0,7,0,0,2,2,0,4,0,1,0,3,14,0,15,1,1,24,3,7,14,14,9,14,7,1,0,1,1,14,2,5,0,5,24,4,0,0,2,24,0,9,0,10,1,1,2,1,5,0,1,0,25,7,11,59,9,0,12,6,4,0,12,0,5,3,0,0,0,0,0,9,2,7,4,0,13,4,2,9,0,10,0,0,0,0,2,27,1,0,0,1,0,6,0,3,6,1,16,14,0,3,18
0,1,3,3,0,2,7,3,3,2,16,7,0,0,15,9,0,0,0,0,0,3,17,13,2,8,0,3,0,8,1,1,9,1,0,0,18,2,19,0,0,0,0,0,0,4,5,4,3,3,4,1,2,0,2,5,20,0,9,0,0,3,4,0,2,25,5,0,7,6,0,0,5,9,2,9,2,7,5,4,0,0,3,0,8,0,2,9,9,0,1,2,1,2,5,0,0,0,0,14,1,4,7,13,0,7,12,5,0,5,4,15,2,0,4,0,0,1,2,3,8,0,4,0,4,0,0,0,6,0,4,0,5,6,0,8,12,2,6,3,1,4,0
0,6,2,10,1,8,0,7,0,0,3,2,0,0,1,4,0,1,1,0,1,0,15,11,0,0,0,0,0,2,10,0,5,8,11,0,1,1,6,0,5,5,2,0,0,4,2,9,13,23,33,0,2,10,1,1,6,0,2,5,2,3,32,0,0,10,2,3,0,2,9,2,7,0,0,1,16,12,0,27,4,0,17,0,7,0,2,0,11,8,8,7,2,0,11,2,0,11,0,6,3,3,0,1,0,7,3,3,3,4,6,1,7,0,7,1,4,1,1,10,9,0,13,13,8,4,0,1,5,4,4,3,2,0,7,4,19,21,2,0,0,7,5
0,0,23,5,42,1,1,1,6,40,18,3,15,0,0,0,3,2,12,4,7,21,3,0,13,14,5,34,14,0,14,15,27,2,2,16,2,1,3,14,0,16,2,4,4,0,15,0,0,2,1,25,48,0,13,3,1,4,8,5,27,7,8,11,23,4,0,3,1,3,16,17,2,12,7,5,0,0,24,11,0,23,1,24,2,17,1,0,10,3,6,1,19,10,28,3,19,0,12,21,10,19,43,5,12,4,2,0,0,1,2,9,0,5,1,0,7,25,36,2,0,3,2,0,3,0,24,10,0,0,1,3,8,7,0,5,13,0,10,11,0,3,10
1,16,15,19,2,19,6,0,1,8,18,5,2,0,2,1,5,8,11,0,3,37,48,1,0,13,1,15,12,1,4,13,26,5,0,3,0,0,9,0,0,13,0,5,2,15,0,3,0,6,4,1,5,0,15,0,6,5,5,13,0,9,48,0,0,12,1,0,7,0,7,16,3,17,0,15,3,2,4,10,0,13,17,2,7,16,5,4,6,9,10,4,7,4,16,3,5,1,0,6,12,24,28,14,0,8,0,1,0,15,23,1,11,4,17,0,0,16,14,14,1,0,7,19,2,0,0,25,6,3,2,8,2,12,0,52,13,6,6,16,7,10,8
0,26,1,3,0,1,16,1,0,6,0,4,1,0,24,11,0,0,0,0,0,4,28,12,1,2,0,1,1,25,0,0,1,0,21,4,9,0,14,0,0,6,4,4,9,0,3,0,23,9,13,2,2,0,3,7,7,0,1,0,2,0,0,0,0,51,27,0,9,0,0,4,12,0,2,10,7,10,1,4,15,0,32,0,19,0,0,15,5,14,0,6,0,5,4,0,0,9,0,7,0,0,3,17,0,6,27,4,10,17,20,11,5,0,13,1,0,1,0,8,3,0,10,0,7,0,4,1,0,6,19,3,8,2,0,2,11,28,0,1,15,12,0
