Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant25,Ant26,Ant30,Ant38,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant91,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,5,1,0,0,0,2,2,0,2,3,3,0,7,0,12,2,17,9,2,7,0,2,1,0,1,22,4,6,0,9,1,2,12,7,1,16,1,0,2,0,3,1,1,6,0,3,0,3,0,0,1,3,7,2,44,0,2,27,0,2,6,2,0,46,6,0,1,13,0,27,9,8,5,1,17,10,31,0,4,10,0,0,2,0,0,17,0,6,2,4,3,12,0,0,0,1,12,29,3,0,5,8,0,3,1,7,5,0,0,5,8,8,5,2,5,32,5,10,7,2,2,1,0,2,18,5,7,0,1,8,6,2
11,0,0,1,0,6,2,3,1,0,4,0,10,0,0,3,0,0,0,0,0,5,0,0,2,0,0,9,4,0,0,1,0,5,0,3,2,0,0,7,0,0,2,12,3,0,0,0,27,0,0,0,4,0,14,0,0,1,1,0,0,0,0,0,0,14,0,1,0,0,8,0,0,0,5,4,1,0,31,0,2,0,5,1,8,0,0,3,0,0,10,4,0,6,0,0,5,0,0,0,0,0,1,8,1,7,1,0,10,0,1,4,0,0,0,0,14,0,2,1,12,0,0,22,0,0,0,1,13,1,1,8,0
0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,1,0,0,13,0,0,0,0,1,4,0,0,0,1,1,0,1,0,5,0,0,0,0,0,0,8,2,0,0,1,0,0,0,9,0,0,0,0,5,5,0,1,0,0,0,1,14,0,1,0,0,0,1,3,0,1,1,1,0,0,0,11,0,0,0,0,1,0,0,2,0,0,0,0,4,4,0,0,1,0,0,3,8,0,0,0,0,6,0,41,0,2,3,2,0,1,0,2,6,0,4,4,4,2,0,0,4,0,0,0,6,0,0
0,2,2,4,0,1,3,1,3,15,2,0,4,2,11,6,3,1,1,3,4,3,11,0,10,2,12,4,26,0,4,1,7,2,3,9,4,7,0,1,6,8,17,6,15,0,0,23,1,3,4,0,0,0,2,6,14,15,6,0,0,17,9,0,1,10,0,0,4,0,5,2,2,0,1,6,1,5,0,0,16,1,5,9,11,3,3,0,1,7,5,8,4,4,0,0,7,2,0,7,4,2,2,10,12,0,6,1,4,0,8,4,2,15,0,4,9,5,0,1,8,7,0,1,7,0,17,2,7,19,5,2,1
0,9,7,0,0,0,0,0,0,1,0,38,0,9,0,9,5,5,3,1,3,1,2,59,0,2,1,0,3,11,15,0,0,10,4,0,1,1,4,0,0,0,0,0,4,34,2,0,0,7,0,9,0,0,0,7,4,2,20,39,4,2,0,0,23,7,31,0,7,0,0,0,1,14,0,6,3,12,6,25,3,15,0,0,0,1,5,0,30,23,2,0,13,0,22,21,0,9,0,4,0,0,13,0,2,0,0,4,2,47,13,1,5,1,2,0,1,1,40,1,1,16,20,0,0,25,0,7,0,0,18,6,0
11,8,6,2,13,35,10,12,4,1,10,0,2,1,25,1,6,1,0,3,3,14,24,0,12,2,2,3,14,0,1,10,2,10,2,1,18,11,0,0,14,58,0,2,14,0,24,63,0,2,14,0,2,0,0,0,1,57,1,0,4,0,1,43,1,11,0,14,1,0,1,5,1,4,37,4,6,0,24,0,6,0,14,2,63,25,0,49,6,1,36,0,0,38,0,0,5,0,1,1,29,3,5,27,0,10,9,2,27,0,0,1,1,2,0,0,3,4,1,0,7,0,1,5,2,0,1,4,9,28,8,0,32
0,9,9,0,0,0,0,0,1,1,0,1,1,4,0,20,3,60,28,1,1,1,4,0,1,3,12,5,3,0,25,0,1,4,9,2,11,0,2,1,0,2,0,1,1,0,0,1,0,44,0,0,6,7,0,0,10,0,51,4,0,11,1,5,71,18,0,2,12,0,9,1,5,27,0,17,11,92,1,5,4,3,0,4,1,1,38,0,9,3,6,1,26,0,0,0,4,7,37,8,0,29,8,0,6,0,0,3,0,0,8,8,13,3,0,4,11,4,43,1,4,11,0,0,5,18,4,20,1,2,16,3,0
0,2,3,2,13,2,4,8,8,13,7,1,0,9,17,6,10,3,11,4,11,2,13,0,13,30,2,12,4,0,9,0,6,22,10,11,13,3,0,5,3,2,15,14,27,0,5,8,2,0,0,0,14,4,1,10,0,11,11,2,13,34,11,9,1,20,0,2,2,0,3,9,3,14,1,10,1,5,12,10,6,1,2,12,8,4,0,0,4,13,4,10,2,6,0,4,5,3,0,3,8,9,11,8,22,10,4,5,2,0,3,43,6,11,4,34,16,3,7,9,7,6,2,13,9,10,12,17,3,11,7,4,12
2,7,0,1,5,8,9,17,5,5,1,0,0,3,9,6,8,0,0,7,8,8,15,0,17,15,3,0,9,0,0,0,0,2,2,21,1,11,0,2,4,6,0,7,2,0,20,9,0,2,1,0,15,2,57,0,11,0,1,0,0,7,3,8,1,2,0,1,7,0,0,14,3,2,0,2,1,1,10,0,21,0,2,1,5,5,0,2,0,1,29,5,0,10,0,8,9,1,0,0,6,4,1,14,5,0,1,0,4,0,4,2,2,2,3,13,4,0,2,3,3,0,5,11,0,0,2,6,4,5,0,0,7
1,24,8,2,1,4,1,6,0,8,11,24,7,23,2,20,1,51,10,0,15,2,12,2,2,3,6,7,9,0,23,0,3,35,18,3,14,2,0,3,0,1,0,3,24,0,14,6,2,27,1,5,6,20,1,51,11,1,0,0,10,20,12,1,79,21,0,6,11,0,14,3,3,35,2,16,26,42,2,12,2,6,1,11,4,5,14,0,4,8,6,1,18,5,0,13,3,17,8,9,1,26,22,1,16,3,4,25,2,0,7,18,16,8,3,15,13,38,25,15,4,23,4,4,3,27,15,26,1,1,43,10,2
0,2,1,0,0,0,0,0,0,1,0,17,0,29,0,2,1,0,1,0,1,0,0,59,0,0,1,3,0,21,6,0,0,2,6,0,0,0,28,0,0,0,0,2,0,24,2,0,0,0,0,5,0,39,0,4,2,0,0,0,0,0,1,0,11,9,55,0,2,0,0,0,0,8,0,1,17,9,0,11,0,5,0,0,0,0,0,0,15,5,0,0,36,3,44,22,0,1,0,1,2,2,51,0,0,0,0,24,0,76,1,3,40,2,10,0,0,4,16,1,1,2,30,0,0,2,11,13,0,0,19,0,0
0,12,50,0,2,1,0,4,0,1,4,9,2,11,0,1,12,9,0,0,0,2,3,1,1,31,9,0,15,0,2,1,0,6,10,13,16,7,3,2,17,2,0,3,13,0,22,15,0,2,0,0,0,4,4,0,13,0,10,0,0,8,3,7,2,2,0,11,19,0,9,15,1,25,0,0,8,0,6,2,10,12,7,4,1,8,0,0,1,5,2,1,1,13,0,0,0,9,0,3,12,1,7,1,2,5,6,4,11,0,4,8,2,5,1,1,1,7,14,16,0,9,4,9,15,0,2,1,12,1,6,0,0
0,7,15,3,1,1,0,3,4,7,6,1,4,12,8,6,2,87,7,4,14,4,21,0,4,1,5,5,6,0,9,0,0,36,26,8,9,0,0,1,1,3,7,4,9,0,1,2,2,6,0,1,17,2,0,11,34,7,20,0,8,0,2,3,9,29,0,1,4,0,6,6,3,14,1,5,12,12,0,5,9,0,0,14,1,19,10,1,4,22,1,1,26,5,0,4,4,6,5,11,10,1,6,3,14,1,2,13,16,0,13,10,3,9,0,5,19,16,22,3,7,25,9,2,1,10,10,42,7,17,24,1,0
0,1,11,1,2,2,5,3,6,9,0,8,0,4,3,2,6,4,1,6,7,3,11,0,0,17,21,7,3,0,5,1,0,3,5,12,5,10,0,3,13,6,3,5,10,0,22,2,0,2,0,0,9,0,1,1,11,3,12,1,3,2,0,3,0,19,0,6,4,0,1,9,2,3,0,0,4,2,13,0,12,3,5,9,5,4,0,6,1,1,3,4,2,5,0,0,4,10,0,6,22,1,4,1,4,0,4,8,19,0,2,21,4,14,0,10,6,8,1,6,4,2,14,8,2,1,13,3,1,2,8,2,5
4,2,6,0,9,6,7,0,18,4,16,0,0,4,12,4,10,1,2,0,4,37,0,0,0,2,0,8,1,0,6,13,5,0,2,12,5,6,0,8,34,3,1,2,24,0,17,11,0,0,0,0,0,0,43,5,9,8,1,0,7,3,3,0,2,3,0,0,0,0,1,12,1,0,6,2,0,0,3,3,11,9,18,6,20,8,1,4,0,0,13,7,0,13,0,0,10,2,0,0,21,3,0,5,0,6,4,3,11,0,0,6,1,1,1,1,14,2,4,3,4,0,3,1,4,1,1,0,4,17,6,0,7
0,9,3,0,0,0,0,0,0,0,3,0,0,12,0,14,4,49,6,3,5,0,3,0,9,1,9,3,0,0,33,0,0,28,13,1,16,0,0,0,1,1,0,4,4,0,2,4,0,46,0,0,1,23,1,71,1,1,79,11,2,9,0,2,0,28,0,3,4,0,4,0,6,18,0,9,11,103,2,2,3,2,0,0,1,2,23,0,2,3,2,1,21,0,0,3,0,5,35,12,1,14,7,0,6,0,3,4,8,0,6,2,4,4,3,4,17,2,39,3,6,18,0,1,2,20,12,6,3,0,25,6,0
0,38,8,4,7,0,2,7,1,13,0,9,15,8,2,10,10,33,5,2,22,6,5,0,6,30,8,4,10,0,16,0,1,26,22,3,8,2,2,4,8,5,2,9,9,0,2,11,4,6,14,1,10,7,11,18,20,2,21,9,2,29,19,3,28,0,0,7,16,0,2,7,3,23,6,11,7,26,16,20,12,7,9,8,0,10,16,6,1,27,10,4,14,4,0,4,7,13,6,15,4,33,7,4,6,3,5,2,4,0,21,5,10,1,1,19,13,19,4,13,14,16,15,2,6,36,30,18,5,8,13,12,1
0,0,0,0,0,0,0,0,0,0,0,19,0,20,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,64,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,77,0,0,0,0,0,14,0,31,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,16,0,0,14,0,28,0,0,0,0,0,0,22,35,0,0,18,0,80,41,0,0,0,0,0,0,40,0,0,0,0,12,0,84,0,0,17,0,4,0,0,0,5,0,0,12,45,0,0,0,0,0,0,0,18,0,0
0,1,3,6,0,5,3,1,7,0,5,1,3,2,13,0,3,4,0,1,3,0,0,0,4,0,4,0,4,0,0,4,0,0,12,6,1,8,5,0,3,8,9,3,16,0,29,4,0,1,1,0,0,0,14,2,2,1,6,0,11,1,6,0,3,7,0,0,0,0,21,15,5,4,2,0,4,0,3,0,3,0,2,0,3,10,0,2,2,0,16,0,1,7,0,5,7,1,0,0,3,5,3,3,10,0,6,0,1,0,0,0,0,4,0,0,1,8,2,8,4,1,1,0,14,10,1,7,6,22,5,0,7
0,50,5,0,5,0,0,5,0,6,0,5,0,13,2,3,2,8,9,0,8,3,0,1,1,6,7,4,4,0,10,6,0,10,7,4,17,0,0,0,2,1,2,3,9,6,10,0,0,13,0,1,4,7,1,12,2,7,11,2,19,4,4,0,4,16,0,0,0,0,1,4,0,16,1,7,24,7,2,10,8,1,5,6,1,3,3,2,6,7,0,0,5,4,0,4,2,12,2,9,4,2,4,0,2,0,0,26,4,1,12,7,8,5,0,4,6,23,29,8,4,23,12,2,5,3,7,6,4,1,22,3,3
