Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
6,2,0,8,4,0,5,0,0,1,6,2,0,0,4,5,2,1,0,3,16,14,1,10,1,11,0,1,0,4,4,0,0,0,0,3,9,5,2,0,0,2,1,0,7,2,2,2,1,3,1,3,0,5,1
9,4,1,34,3,4,1,0,0,2,6,15,14,0,2,4,7,3,1,10,26,0,2,10,12,7,12,2,7,4,2,10,4,8,3,0,0,5,6,9,3,10,0,14,13,0,0,1,4,4,3,2,0,0,0
2,8,3,5,16,2,3,0,0,0,3,7,8,2,13,4,7,3,15,12,23,1,18,17,2,0,17,1,7,2,4,4,5,2,9,0,0,3,8,8,2,10,0,13,1,2,12,19,3,1,2,0,0,0,0
1,22,20,4,8,5,6,0,20,19,5,3,4,0,3,8,2,26,7,7,4,3,16,5,4,0,25,24,9,4,17,2,4,18,5,5,3,0,14,7,4,2,6,6,8,1,31,2,6,6,12,13,17,12,9
9,19,5,9,3,5,6,0,0,3,4,1,13,6,18,9,16,5,24,2,2,4,5,5,7,3,24,23,17,0,10,32,10,1,2,6,8,14,0,10,7,4,6,16,5,2,20,16,8,2,20,1,3,1,2
29,12,0,17,9,14,2,0,0,2,3,4,12,1,1,10,15,1,8,7,13,4,15,7,3,4,26,2,20,9,11,15,7,9,0,9,8,7,10,0,13,19,5,17,7,1,1,7,5,3,3,5,1,4,4
2,14,56,4,4,104,20,4,0,10,6,0,2,5,1,28,6,17,2,1,1,1,6,3,8,0,0,12,3,5,10,0,4,16,0,3,2,4,7,13,0,3,3,3,5,7,0,0,16,7,9,9,44,48,30
12,4,5,13,10,5,3,0,0,0,4,11,20,4,4,5,24,0,9,22,24,2,3,2,4,3,27,3,17,4,2,13,6,0,2,10,10,2,4,19,3,0,9,29,13,0,5,9,5,4,11,5,1,0,0
16,7,2,8,2,8,2,0,0,2,4,5,36,11,10,3,21,0,4,26,9,2,4,2,2,5,21,1,5,11,3,18,3,1,1,0,0,6,6,5,3,9,0,22,7,1,3,8,5,1,31,2,0,1,3
8,8,3,0,16,3,0,0,0,2,10,29,24,4,4,8,22,0,13,21,11,0,11,7,5,26,16,4,9,3,4,30,3,16,0,14,13,6,16,17,3,29,22,0,6,0,24,17,0,2,11,1,0,1,0
31,7,0,14,6,7,5,0,0,3,19,1,3,10,17,13,2,0,6,4,19,4,5,5,11,9,7,14,7,5,22,5,16,8,7,13,1,8,5,7,5,13,7,6,0,1,1,6,11,12,2,2,6,4,6
4,5,4,2,2,2,3,1,0,5,2,0,2,0,1,8,0,4,0,0,4,3,2,3,3,0,2,6,8,0,2,0,1,0,2,0,2,1,2,1,7,0,1,0,1,0,0,0,6,0,1,2,7,7,5
0,26,2,0,1,1,0,0,0,0,1,19,4,0,18,13,2,0,0,9,28,2,1,2,0,0,8,74,2,0,28,0,0,1,2,0,12,31,20,1,0,5,3,24,1,0,0,14,0,2,0,4,0,0,0
3,3,1,10,5,8,2,0,0,0,7,13,4,0,8,3,2,3,5,15,19,1,11,5,3,2,28,4,4,1,2,22,20,1,2,1,19,2,16,7,0,9,8,17,6,0,14,0,0,2,3,0,0,1,0
7,12,8,1,5,6,13,1,0,2,8,4,1,21,3,7,9,3,0,0,6,8,24,6,4,0,1,6,3,1,20,0,12,5,1,4,3,6,8,5,16,5,5,0,11,6,0,0,0,37,2,5,4,8,15
4,4,7,8,4,12,12,0,0,10,6,7,1,13,0,8,12,1,5,0,13,7,23,6,4,7,7,11,4,2,28,0,6,1,3,4,1,6,2,3,7,4,1,2,12,0,2,2,37,0,8,2,22,8,36
5,7,16,4,9,15,5,0,0,10,18,11,15,2,7,6,7,1,7,13,4,6,11,4,11,11,20,2,26,3,4,28,5,5,1,3,2,12,20,3,9,11,31,11,2,1,0,3,2,8,0,3,3,3,0
4,4,11,1,1,9,6,1,0,0,1,0,0,2,1,6,7,4,1,1,3,1,18,2,2,2,1,30,4,1,5,1,3,1,3,2,0,13,1,5,9,5,2,1,2,2,4,0,5,2,3,0,7,6,18
3,5,17,3,2,10,12,0,0,8,1,0,0,2,6,20,1,5,2,0,0,0,19,1,7,0,0,15,11,1,17,3,0,27,0,0,0,17,3,1,44,1,0,0,6,7,0,0,4,22,3,7,0,47,53
4,5,21,0,1,25,8,4,0,6,7,0,0,3,2,18,7,17,1,0,3,2,6,3,4,2,1,14,3,0,12,2,1,24,5,0,0,12,1,4,48,0,1,1,4,7,0,1,8,8,3,6,47,0,26
3,5,12,2,1,13,10,3,0,16,2,0,0,6,0,12,6,5,0,3,0,14,2,4,5,2,1,10,8,3,8,0,1,15,1,0,0,9,2,4,30,0,3,0,6,5,0,0,15,36,0,18,53,26,0
