Ant52,Ant65,Ant244,Ant2,Ant6,Ant7,Ant15,Ant19,Ant30,Ant60,Ant72,Ant99,Ant102,Ant148,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant518,Ant604,Ant673,Ant12,Ant20,Ant32,Ant35,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant265,Ant289,Ant294,Ant296,Ant298,Ant305,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant575,Ant592,Ant593,Ant599,Ant607,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,4,3,4,2,18,0,6,4,10,0,0,0,3,5,0,7,4,2,7,4,0,7,0,5,0,24,4,0,3,1,0,0,6,4,15,12,53,0,1,10,0,2,0,0,0,0,5,0,5,2,3,1,11,0,37,1,0,5,0,16,1,1,6,4,0,4,3,0,2,1,10,1,0,1,1,0,1,20,4,0,7,2,0,12,0,0,0,2,0
1,0,5,1,4,8,9,2,10,13,0,7,1,1,5,0,6,8,6,0,9,7,0,0,6,2,4,4,15,0,0,0,19,3,0,7,6,18,0,8,1,10,5,0,22,0,0,6,5,10,0,0,0,20,1,6,0,3,1,0,0,0,4,1,5,8,6,1,2,2,0,2,2,5,4,3,7,7,0,2,0,6,4,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,50,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3,2,10,0,0,0,0,0,5,0,0,0,0,0,0,37,13,0,0,6,18,0,0,2,25,17,0,0,8,0,0,0,0,0,16,0,6,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0
0,2,2,2,1,7,1,4,7,0,19,0,0,1,0,5,0,5,0,11,26,5,6,0,0,0,5,1,0,16,0,0,8,7,0,4,4,11,0,7,14,0,1,4,0,10,0,6,1,0,20,1,0,6,3,2,1,1,7,1,1,0,2,18,3,0,2,0,0,13,0,5,0,6,1,2,0,0,24,0,0,1,1,33,0,0,2,0,1,0
7,2,7,0,2,5,12,2,4,6,0,2,8,9,13,0,15,0,0,0,0,0,2,0,0,0,0,16,6,3,8,7,0,0,0,3,0,2,12,0,1,5,3,0,0,0,0,5,13,4,0,0,6,7,0,4,9,1,2,0,0,6,3,0,0,13,10,15,0,0,3,4,13,1,0,3,6,8,0,0,3,0,0,0,4,0,0,0,26,11
0,2,1,7,4,4,2,7,11,1,15,0,3,0,1,0,0,11,0,23,9,24,4,0,5,0,0,0,1,5,0,0,10,7,10,12,1,30,0,42,11,1,0,0,17,0,0,10,3,10,1,21,0,17,0,4,2,2,20,0,2,0,6,2,1,0,3,0,3,6,2,6,1,0,8,1,5,1,9,2,0,2,0,0,32,0,0,0,0,0
19,2,4,9,4,2,8,21,6,11,0,1,33,5,1,0,1,4,2,0,6,4,4,0,1,16,0,0,11,0,1,3,6,12,1,16,1,13,15,4,5,12,20,0,1,0,0,8,27,9,0,0,20,2,0,10,6,0,0,0,1,1,16,1,2,31,16,12,1,0,3,7,6,3,0,6,9,4,9,0,3,10,9,3,15,0,0,0,12,8
9,1,1,0,0,0,3,1,2,22,0,0,12,5,12,0,8,1,4,0,1,0,15,0,0,6,1,11,0,0,9,26,1,16,14,0,0,0,21,0,2,8,7,0,0,0,0,5,8,1,0,0,0,0,0,1,6,4,0,0,0,29,9,0,1,20,3,2,2,2,10,0,0,2,2,12,8,0,0,8,2,7,4,0,1,0,0,2,24,3
0,2,3,13,5,3,0,0,3,0,14,0,0,0,2,40,0,12,0,54,26,3,0,23,16,3,5,0,0,0,0,0,0,0,1,47,2,11,0,22,2,0,0,14,7,30,1,1,0,5,39,20,0,11,2,19,2,4,4,31,18,4,0,6,0,0,0,1,0,11,1,23,0,0,12,2,0,0,22,2,0,0,0,38,14,0,51,0,0,0
4,2,0,0,0,3,11,1,0,2,0,0,4,0,1,0,4,0,0,0,0,1,0,0,0,8,0,1,9,0,0,7,2,5,0,0,0,0,1,5,1,1,0,0,3,0,0,1,4,1,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,6,0,0,1,1,1,0,2,2,0,0,6,4,0,0,1,0,2,0,1,0,0,0,2,18
4,0,0,1,0,4,5,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,7,0,3,26,0,7,0,0,1,1,0,0,1,13,0,1,0,2,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,18,3,0,0,0,3,0,4,0,0,0,1,12,0,0,0,5,1,0,1,0,0,0,1,3
