Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant68,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant149,Ant159,Ant169,Ant172,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant215,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663
14,3,14,1,2,16,0,0,1,1,0,12,1,6,0,16,0,5,0,0,0,11,1,0,0,16,10,0,8,0,0,0,7,2,0,7,0,1,2,7,5,1,0,0,0,1,1,0,5,1,25,4,0,0,1,1,0,5,1,7,0,1,1,5,0,4,4,8,10,4,2,12,0,3,2,0,0,0,1,3,0,2,1,5,29,0,5,5,5,6,0,0,1,2,2,0,1,0,11,1,24,0,0,7,0,2,0,1,0,0,18,0,23,0,10,1,6,0,13,5,7,0,0,0,13,14,0,10,0,0,0,9,0,0,0,0,3,22,4,2,3
41,13,14,0,0,57,0,1,0,0,12,0,0,0,1,2,0,7,0,0,0,44,18,0,0,43,0,0,3,0,0,0,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,2,0,1,0,1,11,0,0,0,0,0,2,0,6,2,0,0,20,0,0,11,0,7,1,1,19,0,0,0,0,31,2,14,1,6,9,0,1,2,0,11,0,0,0,28,2,0,0,0,1,0,4,0,0,0,0,6,0,36,0,34,0,3,0,0,1,2,0,0,0,42,9,0,0,0,0,0,10,0,0,0,0,0,128,24,3,0
0,1,5,9,6,1,11,4,0,11,1,0,0,4,1,5,4,3,3,0,2,0,1,17,10,5,23,0,1,5,7,1,0,3,0,6,2,6,7,16,18,2,10,1,4,4,1,0,3,0,1,6,0,2,1,3,0,13,4,10,8,0,7,13,2,28,16,0,5,19,9,6,1,7,6,1,0,11,4,0,1,1,4,0,4,3,14,4,5,2,0,2,0,6,1,0,3,1,0,2,3,1,0,2,4,1,3,3,2,4,3,0,6,4,0,11,7,1,4,3,0,11,0,0,0,0,3,4,3,1,0,1,1,2,0,3,8,0,0,0,8
0,1,8,3,0,4,0,3,6,1,6,0,4,0,0,5,2,0,3,0,1,0,0,14,14,8,16,0,2,1,3,3,2,0,0,1,9,6,0,2,17,0,11,4,0,0,1,0,4,0,4,1,10,1,0,6,8,3,3,2,5,7,2,10,0,5,42,2,8,2,1,3,5,10,2,3,0,13,0,0,8,1,4,11,1,1,2,0,3,0,3,4,0,5,2,11,3,0,0,0,2,1,0,0,0,2,1,1,5,4,4,4,0,6,0,12,1,4,3,1,0,1,1,3,0,1,3,8,0,0,0,2,3,2,6,1,0,7,1,0,16
6,1,5,0,0,40,0,0,0,0,0,1,1,0,0,4,0,5,0,0,0,5,1,0,0,7,0,0,2,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,3,9,0,0,0,3,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,4,5,0,0,1,0,5,0,0,7,0,0,0,0,13,0,3,5,0,9,0,0,2,0,5,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,2,0,19,0,6,0,4,0,1,1,0,0,0,0,25,2,0,4,0,0,0,3,0,0,0,0,2,13,4,1,1
0,0,1,6,14,12,5,4,0,3,16,2,5,5,4,0,2,21,5,2,0,2,2,1,1,18,8,2,8,2,1,0,3,0,0,1,2,0,39,17,11,4,0,0,8,10,6,0,1,0,8,9,1,1,1,1,4,17,6,13,2,0,5,6,1,12,2,4,5,5,1,17,2,10,1,0,0,2,0,0,2,9,2,14,3,1,26,3,18,12,2,5,0,4,12,0,6,1,4,22,15,0,2,7,5,4,0,6,4,0,6,0,31,2,8,5,11,1,21,10,2,2,0,0,3,10,3,15,0,1,0,15,1,0,3,4,6,18,6,0,1
0,0,9,8,5,0,3,21,21,2,0,0,4,2,0,2,0,1,4,7,2,0,0,17,11,0,22,1,6,5,6,7,0,1,13,1,33,16,0,4,5,12,0,10,8,1,2,0,6,0,4,0,19,3,2,2,4,2,0,1,13,4,13,12,2,1,14,0,6,3,8,0,2,15,2,4,0,7,18,0,0,1,13,6,0,5,4,4,12,3,7,20,0,10,0,1,2,4,0,2,7,3,4,1,2,0,7,27,12,5,0,1,5,8,0,14,1,2,0,1,0,1,4,3,4,0,7,3,8,1,1,0,6,4,7,18,4,3,4,0,28
4,1,2,1,6,4,0,0,0,2,5,7,3,0,5,21,1,0,1,0,0,6,2,0,0,5,0,0,2,3,1,0,2,6,0,0,2,1,7,4,8,3,0,2,0,6,2,0,0,0,8,2,3,0,0,2,0,4,3,20,0,0,2,1,0,1,5,2,4,2,1,9,0,0,18,0,1,1,0,2,0,2,2,4,4,0,11,11,5,5,0,0,0,2,1,0,1,7,0,2,22,0,0,11,0,9,0,0,2,0,7,0,8,0,10,6,2,0,11,9,10,2,2,0,12,7,2,14,0,0,0,20,0,0,0,1,11,15,1,2,3
0,0,2,58,7,0,13,1,9,3,0,0,3,3,0,5,4,1,0,10,2,0,0,13,3,1,2,0,1,13,10,12,0,4,11,2,17,10,1,10,0,6,9,23,24,3,0,2,11,0,1,1,8,5,9,4,4,5,14,5,5,24,19,7,0,1,20,1,8,5,3,0,11,6,0,12,0,14,25,0,15,3,4,4,1,8,1,2,5,4,20,14,0,8,0,4,30,140,0,0,1,6,2,1,15,0,16,8,6,3,1,1,0,10,0,10,2,7,2,2,0,1,10,6,0,2,7,5,5,2,7,3,9,4,12,7,1,0,0,0,17
0,0,1,3,0,0,0,3,14,0,0,0,0,0,0,2,7,0,10,0,0,0,0,8,0,0,4,0,1,0,7,4,0,0,9,0,3,4,0,0,0,2,0,14,0,0,0,1,2,0,1,0,4,48,0,0,0,0,0,0,0,39,4,2,1,2,1,0,2,0,0,0,3,1,0,14,0,5,6,0,1,0,0,0,0,3,0,0,0,0,10,8,0,1,0,1,1,0,0,0,0,18,19,0,8,0,0,3,0,1,0,20,0,4,0,2,0,5,0,0,0,1,9,0,0,0,9,0,3,14,12,0,1,21,3,2,2,0,0,0,1
