Ant57,Ant260,Ant52,Ant397,Ant540,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant237,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant29,Ant35,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant82,Ant91,Ant96,Ant97,Ant98,Ant100,Ant109,Ant113,Ant115,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant139,Ant140,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant186,Ant190,Ant195,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant219,Ant229,Ant232,Ant242,Ant250,Ant255,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant326,Ant331,Ant332,Ant334,Ant342,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant476,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant552,Ant560,Ant564,Ant576,Ant592,Ant593,Ant599,Ant600,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
2,4,6,13,9,2,2,6,0,0,0,1,1,4,4,7,1,0,0,0,0,0,23,13,9,0,5,0,0,5,0,11,18,0,7,5,3,0,5,0,8,0,0,0,0,0,12,7,5,21,1,6,3,1,14,0,0,1,0,2,1,0,2,0,0,0,3,0,0,9,0,0,0,10,0,1,0,0,0,0,11,12,0,1,0,9,9,0,7,0,3,8,1,0,0,11,0,3,0,8,7,2,2,1,9,0,7,0,0,0,0,1,4,0,0,1,0,0,2,5,6,2,0,0,0,1,4,0,1,0,2,0,1,0,0,5,0,5,1,2,5,8,0,0,13,1,3,21,9,0,0,0,6,5,3,0,0,8,1,8,0,0,7,3
0,0,18,2,3,8,3,2,0,6,1,0,21,4,0,0,0,11,0,15,2,0,7,2,4,6,5,0,3,12,4,0,12,0,10,2,4,0,0,11,0,4,0,6,2,0,3,0,5,7,0,1,0,2,0,0,4,0,0,6,0,4,9,17,18,35,22,12,13,5,5,2,5,0,5,0,0,6,21,0,5,26,10,9,0,6,5,8,5,0,1,1,3,1,8,2,6,0,0,15,3,6,6,19,4,0,9,0,0,1,0,10,26,5,5,9,1,15,2,1,5,19,0,0,3,10,5,0,8,2,3,0,10,11,4,2,0,5,1,7,14,10,0,0,12,12,0,7,3,5,8,1,27,3,2,0,5,5,1,7,4,0,4,11
2,3,0,24,5,3,2,10,0,0,1,21,0,0,0,13,2,0,1,0,0,0,3,27,7,1,1,0,0,0,0,4,2,0,0,0,0,1,43,0,5,0,0,0,0,0,2,1,0,2,0,16,6,6,9,0,0,0,0,23,3,1,0,0,0,5,3,2,2,7,0,14,2,0,0,4,0,0,2,10,0,14,0,1,0,0,0,0,0,6,0,16,0,16,0,47,0,6,5,2,7,7,2,0,11,1,0,0,0,11,1,0,2,3,4,0,15,1,16,3,11,1,0,2,23,11,8,0,6,0,5,0,0,0,1,6,0,0,5,0,0,9,0,0,0,2,6,6,9,0,0,8,3,10,12,0,25,6,9,0,0,4,9,0
15,0,3,0,7,11,2,2,0,0,4,4,0,0,0,3,0,0,20,1,21,4,7,4,0,18,11,0,0,5,2,0,4,0,13,8,0,11,0,0,1,0,0,1,5,0,3,0,14,0,0,0,0,0,1,7,9,0,9,5,0,0,4,12,4,5,1,7,10,6,17,0,0,0,3,4,24,34,1,0,5,17,15,7,0,5,24,1,0,0,15,0,18,0,7,0,9,0,0,3,4,30,0,28,8,2,12,9,2,0,0,6,16,6,10,11,0,3,1,3,1,37,0,0,0,0,0,0,1,6,0,0,17,6,10,4,0,18,0,4,5,0,0,4,11,7,0,5,1,10,4,4,15,1,1,0,1,1,1,7,1,0,0,34
0,7,0,5,20,0,5,15,6,0,4,0,0,0,0,0,24,0,0,0,0,0,0,8,3,0,2,70,0,0,1,0,1,0,0,0,7,1,0,0,9,0,28,1,0,0,1,7,0,1,25,2,18,22,18,0,1,13,0,0,0,0,3,0,21,0,0,21,0,13,0,5,24,4,1,1,0,0,0,0,1,11,0,1,35,5,0,0,15,60,0,3,0,2,0,17,0,2,7,0,2,0,6,0,0,0,0,0,0,0,5,3,0,0,1,0,3,0,2,16,0,0,3,7,3,0,1,3,1,0,9,0,2,0,0,0,10,0,0,0,1,2,2,0,0,0,30,4,12,0,0,0,0,7,3,10,0,4,13,4,0,5,14,0
0,18,0,12,0,0,0,18,10,0,7,0,13,3,0,0,5,0,2,0,0,0,1,14,12,0,0,3,0,2,0,0,5,0,2,2,6,0,5,0,3,0,0,0,0,0,3,2,0,7,1,20,1,6,6,0,0,4,0,2,7,0,2,1,0,0,2,6,0,15,0,4,4,1,0,2,0,0,0,9,0,6,0,1,4,8,12,0,0,3,0,15,0,7,0,14,0,18,0,6,3,0,3,0,2,0,3,1,0,3,3,0,0,0,1,0,14,0,5,0,16,0,0,0,18,23,9,0,0,0,19,0,2,0,0,1,6,0,0,3,4,5,1,0,0,4,9,7,14,0,0,7,0,19,5,2,6,7,13,2,0,10,0,0
0,34,0,3,0,0,10,17,1,0,1,0,2,0,24,5,0,0,0,0,0,0,1,8,31,0,0,15,0,1,0,3,2,0,0,0,9,0,3,0,4,0,21,2,0,1,3,20,0,5,32,3,20,18,13,0,1,2,0,0,0,2,0,0,5,0,2,2,1,9,0,9,8,15,0,4,0,0,0,11,0,6,0,0,40,38,0,0,7,50,0,21,0,24,0,23,0,4,16,0,11,0,4,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,11,2,4,0,0,7,25,2,1,27,4,0,39,0,0,5,0,5,26,0,0,1,4,8,9,0,5,0,30,12,3,0,1,0,0,9,0,35,3,6,5,0,0,23,1,1
1,0,0,0,0,13,3,0,0,17,0,11,0,0,0,0,0,0,1,6,32,21,0,0,0,2,6,0,18,0,0,0,0,1,4,8,0,13,0,4,0,1,0,0,2,0,0,0,16,0,0,0,0,0,0,44,16,0,3,0,0,7,0,2,12,14,1,9,17,0,6,0,0,0,23,3,0,7,5,0,1,6,9,0,0,0,2,22,5,0,20,0,3,0,23,0,0,0,0,0,0,0,0,7,0,0,6,10,13,0,0,24,2,0,0,0,2,18,0,0,0,25,0,0,0,0,0,0,1,18,0,0,5,0,0,0,0,0,0,29,5,0,0,22,71,21,0,0,0,1,7,0,0,2,0,0,0,0,0,0,19,0,0,1
7,4,7,5,7,44,14,2,0,23,0,0,1,20,0,2,0,1,0,8,17,24,9,12,0,11,0,0,14,14,1,12,1,9,13,12,0,4,0,4,11,0,0,3,12,0,6,0,18,7,0,7,1,1,4,13,7,1,0,3,4,1,12,7,5,15,2,8,13,0,7,4,3,0,18,0,1,3,9,3,13,42,4,11,0,0,1,10,4,0,19,1,20,0,17,3,11,0,0,32,3,9,1,5,1,4,6,2,19,1,0,27,17,0,11,24,1,15,4,0,4,3,0,0,0,1,2,0,0,4,1,0,13,3,8,9,0,5,7,9,0,0,0,0,50,6,0,10,0,2,2,0,2,2,0,0,5,8,4,8,6,2,2,3
14,0,29,0,2,27,0,0,0,15,0,15,0,1,0,0,0,6,8,0,6,63,8,0,0,11,4,0,12,0,0,0,0,0,9,9,0,2,0,23,1,24,0,2,18,0,0,0,35,0,0,0,0,1,0,146,5,0,9,3,0,13,12,1,0,50,1,0,29,0,15,0,0,0,3,3,1,0,6,0,3,15,18,2,0,0,0,26,2,0,35,0,61,0,4,0,0,0,0,4,2,1,0,6,8,9,2,12,111,0,0,35,6,3,0,63,3,21,0,0,0,16,0,0,0,0,5,0,0,6,0,0,0,30,41,0,0,33,0,95,0,0,0,8,33,17,0,2,0,10,20,0,4,0,0,0,2,2,0,0,28,0,6,3
